iter	RMSE
0	118.6077454
1	110.8498402
2	104.8611665
3	99.53787613
4	94.6466658
5	90.82231527
6	87.37547176
7	84.29061414
8	82.1087555
9	80.39034082
10	78.67374267
11	77.53476254
12	76.19052224
13	75.0839936
14	74.39143901
15	73.48119568
16	72.85575156
17	72.09277382
18	71.60527716
19	71.24884347
20	70.67197321
21	70.31145389
22	69.84510806
23	69.38308695
24	69.18674916
25	68.91632146
26	68.70658757
27	68.31735382
28	68.09637135
29	67.90511146
30	67.73808989
31	67.56319238
32	67.36305077
33	67.24395329
34	67.01712697
35	66.81288097
36	66.58992793
37	66.44279617
38	66.28837728
39	66.16750099
40	65.96827741
41	65.88916049
42	65.8406722
43	65.72602147
44	65.62057391
45	65.4942386
46	65.30260067
47	65.15046931
48	65.06347879
49	64.9425827
50	64.87078928
51	64.62326908
52	64.55873576
53	64.35691729
54	64.18912142
55	63.85062014
56	63.58950693
57	63.45833236
58	63.28814812
59	63.10589497
60	62.8451478
61	62.68030936
62	62.48696193
63	62.34670951
64	62.27202213
65	62.04779831
66	61.93717066
67	61.84416415
68	61.63710535
69	61.36857257
70	61.08285634
71	60.89829042
72	60.81894015
73	60.63111207
74	60.36511925
75	60.12195373
76	59.84607956
77	59.7336063
78	59.47810872
79	59.11632427
80	58.67661992
81	58.52746294
82	58.29203081
83	58.05161975
84	57.79422878
85	57.43635527
86	57.22084506
87	56.89347956
88	56.82391857
89	56.66706506
90	56.44593444
91	56.04607266
92	55.78078513
93	55.52118205
94	55.19944191
95	54.9340506
96	54.78485715
97	54.61138726
98	54.28353059
99	54.22078992
100	54.0102743
101	53.85909501
102	53.51321472
103	53.36834053
104	53.281836
105	53.07553037
106	52.93817322
107	52.85334965
108	52.61963844
109	52.34404134
110	52.04325652
111	51.93621868
112	51.88498686
113	51.72775139
114	51.60302736
115	51.37304791
116	51.24871335
117	50.94830021
118	50.78807566
119	50.72230605
120	50.51754782
121	50.41916723
122	50.31440961
123	50.19615781
124	49.93435152
125	49.79542219
126	49.69121325
127	49.56077592
128	49.41614309
129	49.18538344
130	48.97295792
131	48.86534478
132	48.81146456
133	48.65082132
134	48.55500695
135	48.48542272
136	48.4466588
137	48.18134905
138	47.98788933
139	47.89076059
140	47.70412234
141	47.64745219
142	47.60376125
143	47.52367803
144	47.28322561
145	47.25276889
146	47.09788116
147	46.99197302
148	46.94984966
149	46.78939773
150	46.64656741
151	46.50811126
152	46.35352661
153	46.25684617
154	46.08048285
155	45.88759493
156	45.84683678
157	45.76697882
158	45.58203025
159	45.46588678
160	45.29099646
161	45.26823003
162	45.23121064
163	45.17049245
164	45.09867715
165	44.94505458
166	44.87211483
167	44.81214022
168	44.77957434
169	44.59377602
170	44.56036231
171	44.41970719
