iter	Passed	Remaining
0	3	596
1	6	500
2	10	551
3	13	558
4	17	553
5	20	550
6	24	553
7	27	548
8	31	547
9	34	541
10	37	535
11	41	530
12	44	523
13	48	523
14	52	525
15	55	521
16	59	519
17	62	516
18	66	513
19	69	510
20	73	505
21	77	507
22	80	502
23	83	496
24	88	499
25	91	494
26	95	493
27	99	490
28	102	485
29	106	482
30	109	477
31	111	465
32	115	464
33	118	459
34	122	457
35	126	455
36	129	452
37	133	449
38	136	445
39	141	445
40	145	443
41	148	438
42	152	435
43	155	431
44	159	429
45	163	426
46	166	422
47	170	418
48	174	416
49	178	413
50	181	409
51	185	406
52	188	402
53	192	398
54	196	395
55	200	393
56	204	390
57	207	387
58	211	383
59	215	380
60	219	377
61	222	373
62	226	369
63	229	365
64	232	361
65	236	358
66	240	354
67	244	352
68	247	348
69	251	344
70	255	341
71	258	337
72	261	333
73	265	329
74	268	326
75	272	322
76	276	320
77	279	315
78	284	313
79	288	310
80	291	305
81	295	302
82	299	299
83	302	295
84	305	291
85	310	288
86	313	284
87	316	280
88	320	277
89	323	273
90	327	270
91	331	266
92	335	263
93	338	259
94	342	255
95	346	252
96	349	248
97	353	245
98	357	241
99	361	238
100	364	234
101	368	231
102	371	227
103	375	223
104	379	220
105	382	216
106	386	213
107	389	209
108	394	206
109	398	202
110	401	198
111	404	195
112	407	191
113	411	187
114	415	184
115	418	180
116	422	176
117	425	173
118	428	169
119	432	165
120	436	162
121	439	158
122	443	154
123	446	151
124	450	147
125	453	144
126	457	140
127	460	136
128	464	133
129	467	129
130	470	125
131	474	122
132	478	118
133	482	115
134	486	111
135	489	107
136	492	104
137	496	100
138	499	97
139	503	93
140	506	89
141	509	86
142	513	82
143	517	79
144	520	75
145	524	71
146	528	68
147	531	64
148	535	61
149	539	57
150	542	53
151	546	50
152	549	46
153	552	43
154	557	39
155	560	35
156	564	32
157	569	28
158	572	25
159	576	21
160	579	18
161	583	14
162	587	10
163	590	7
164	594	3
165	597	0
