rank,name,position,consensus_adp,mock_count,adp_source,last_updated,data_quality,overall_rank,sources,sources_count,adp_std
1,Bijan Robinson,RB,1.98,47,sfb15,2025-06-21 10:09:28.076974,high,1,['sfb15'],1,0.0
2,Ja’Marr Chase,WR,2.96,47,sfb15,2025-06-21 10:09:28.077046,high,2,['sfb15'],1,0.0
3,Lamar Jackson,QB,4.77,47,sfb15,2025-06-21 10:09:28.077088,high,3,['sfb15'],1,0.0
4,Josh Allen,QB,5.06,47,sfb15,2025-06-21 10:09:28.077134,high,4,['sfb15'],1,0.0
5,Saquon Barkley,RB,5.81,47,sfb15,2025-06-21 10:09:28.077174,high,5,['sfb15'],1,0.0
6,Jahmyr Gibbs,RB,5.85,47,sfb15,2025-06-21 10:09:28.077214,high,6,['sfb15'],1,0.0
7,Brock Bowers,TE,6.53,47,sfb15,2025-06-21 10:09:28.077253,high,7,['sfb15'],1,0.0
8,Jayden Daniels,QB,7.83,47,sfb15,2025-06-21 10:09:28.077292,high,8,['sfb15'],1,0.0
9,Justin Jefferson,WR,9.62,47,sfb15,2025-06-21 10:09:28.077331,high,9,['sfb15'],1,0.0
10,Ashton Jeanty,RB,10.85,47,sfb15,2025-06-21 10:09:28.077371,high,10,['sfb15'],1,0.0
11,Jalen Hurts,QB,11.77,47,sfb15,2025-06-21 10:09:28.077417,high,11,['sfb15'],1,0.0
12,Trey McBride,TE,12.51,47,sfb15,2025-06-21 10:09:28.077457,high,12,['sfb15'],1,0.0
13,CeeDee Lamb,WR,13.0,47,sfb15,2025-06-21 10:09:28.077496,high,13,['sfb15'],1,0.0
14,Joe Burrow,QB,14.74,47,sfb15,2025-06-21 10:09:28.077535,high,14,['sfb15'],1,0.0
15,Christian McCaffrey,RB,15.13,47,sfb15,2025-06-21 10:09:28.077575,high,15,['sfb15'],1,0.0
16,Malik Nabers,WR,16.02,47,sfb15,2025-06-21 10:09:28.077618,high,16,['sfb15'],1,0.0
17,Derrick Henry,RB,17.6,47,sfb15,2025-06-21 10:09:28.077658,high,17,['sfb15'],1,0.0
18,De’Von Achane,RB,18.09,47,sfb15,2025-06-21 10:09:28.077697,high,18,['sfb15'],1,0.0
19,Amon-Ra St. Brown,WR,18.72,47,sfb15,2025-06-21 10:09:28.077736,high,19,['sfb15'],1,0.0
20,Puka Nacua,WR,19.51,47,sfb15,2025-06-21 10:09:28.077775,high,20,['sfb15'],1,0.0
21,Jonathan Taylor,RB,23.66,47,sfb15,2025-06-21 10:09:28.077814,high,21,['sfb15'],1,0.0
22,Brian Thomas,WR,24.02,47,sfb15,2025-06-21 10:09:28.077853,high,22,['sfb15'],1,0.0
23,Nico Collins,WR,24.02,47,sfb15,2025-06-21 10:09:28.077892,high,23,['sfb15'],1,0.0
24,Bucky Irving,RB,24.09,47,sfb15,2025-06-21 10:09:28.077931,high,24,['sfb15'],1,0.0
25,Josh Jacobs,RB,25.87,47,sfb15,2025-06-21 10:09:28.077971,high,25,['sfb15'],1,0.0
26,Patrick Mahomes,QB,27.06,47,sfb15,2025-06-21 10:09:28.078011,high,26,['sfb15'],1,0.0
27,Drake London,WR,27.13,47,sfb15,2025-06-21 10:09:28.078049,high,27,['sfb15'],1,0.0
