player_id,position,team,career_seasons,career_games,career_total_points,career_points_per_game,games_per_season,best_season_points,worst_season_points,recent_avg_ppg,career_trend,team_offensive_strength,team_scoring_environment,high_scoring_offense,player_name,career_rush_attempts_per_game,career_rush_yards_per_game,career_rush_tds_per_game,recent_rush_upside,rush_trend_improving,high_rush_game_frequency,has_elite_rushing_ceiling,mobility_score,career_receptions_per_game,career_receiving_yards_per_game,career_receiving_tds_per_game,estimated_target_share,pass_catching_role,workload_intensity,three_down_back_score,yards_per_touch,red_zone_efficiency,receiving_te_role,target_share_estimate,red_zone_priority,te_ceiling_score,consistent_target_role,wr1_potential,red_zone_role,yards_per_reception,big_play_ability,target_quality_score
00-0039945,K,GB,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.556550303718538,0,0,Alex Hale,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0038402,K,NYJ,2,26,328.7,12.642307692307693,13.0,238.0,90.69999999999999,12.642307692307693,0.5,0.4726869055283744,0,0,Anders Carlson,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0038428,K,CLE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.47064408658036305,0,0,Andre Szmyt,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0035145,K,WAS,6,40,525.6,13.14,6.666666666666667,192.5,6.7,17.45,0.0,0.5530374281671313,0,0,Austin Seibert,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0038905,K,NO,2,34,457.90000000000003,13.46764705882353,17.0,246.10000000000002,211.8,13.46764705882353,0.5,0.45162291740532967,0,0,Blake Grupe,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0037692,K,DAL,2,35,581.3,16.608571428571427,17.5,305.4,275.9,16.608571428571427,0.5,0.6184888892756937,0,0,Brandon Aubrey,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0029822,K,GB,11,177,2219.100000023842,12.53728813572792,16.09090909090909,271.3,162.6,14.203448275862069,1.0,0.556550303718538,0,0,Brandon McManus,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0039649,K,TEN,1,7,101.3,14.471428571428572,7.0,101.3,101.3,14.471428571428572,0.5,0.4036931224467736,0,0,Brayden Narveson,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0038097,K,CIN,2,23,290.7,12.639130434782608,11.5,207.79999999999998,82.9,12.639130434782608,0.5,0.5897839100392557,0,0,Cade York,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031203,K,CHI,11,154,1944.4199999973175,12.626103896086477,14.0,277.7199999973178,57.99999999999999,11.985294117647058,1.0,0.4503964932758731,0,0,Cairo Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0039409,K,JAX,1,17,190.7,11.217647058823529,17.0,190.7,190.7,11.217647058823529,0.5,0.5903051306638771,0,0,Cam Little,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0037224,K,LAC,2,35,505.79999999999995,14.45142857142857,17.5,268.2,237.6,14.45142857142857,0.5,0.48922604332965175,0,0,Cameron Dicker,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0038567,K,ARI,2,30,331.1,11.036666666666667,15.0,191.0,140.1,11.036666666666667,0.5,0.48832631670687976,0,0,Chad Ryland,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0039229,K,NO,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.45162291740532967,0,0,Charlie Smyth,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0035358,K,TB,6,84,1110.0,13.214285714285714,14.0,302.9,31.1,15.02162162162162,1.0,0.6480371805809629,0,0,Chase McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0031136,K,PIT,10,160,2182.8799999982116,13.642999999988822,16.0,285.9,142.3,13.722222222222221,0.0,0.5064925933677106,0,0,Chris Boswell,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0034161,K,LV,7,113,1492.9,13.211504424778761,16.142857142857142,266.4,149.3,11.714705882352941,1.0,0.493508334241364,0,0,Daniel Carlson,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0030098,K,CLE,10,142,1771.7,12.476760563380282,14.2,241.8,69.69999999999999,10.903225806451612,0.0,0.47064408658036305,0,0,Dustin Hopkins,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0034173,K,CAR,5,70,795.0,11.357142857142858,14.0,228.39999999999998,60.4,10.659375,1.0,0.40203040952919517,0,0,Eddy Pineiro,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0036854,K,CIN,4,68,1017.2,14.958823529411765,17.0,338.5,181.5,14.437931034482759,0.0,0.5897839100392557,0,0,Evan McPherson,,,,,,,,,,,,,,,,,,,,,,,,,,,
