feature,importance
total_points_overall_pct,2067
points_per_game,1510
total_points_pos_pct,1333
games_played_pos_pct,1026
games_played_overall_pct,1000
passing_yards_points,851
receiving_first_down_points,793
receptions_per_game,779
pass_attempt,777
rushing_yards_points,753
completions,719
receptions_points,717
rushing_attempt_points,687
receiving_td_points,632
receiving_yards_points,623
receiving_yards_per_game,605
availability_rate,555
passing_td_points,524
rushing_first_down_points,506
receiving_touchdown_per_game,463
