"player_name","position","season","platform","week","passing_yards","pass_touchdown","complete_pass","incomplete_pass","rushing_yards","rush_touchdown","first_down_rush","rush_attempt","receiving_yards","first_down_pass","yards_gained","touchdown","first_down","fumble_lost","two_point_attempt","return_yards","return_touchdown","reception","targets","pass_2pt_conversion","rush_2pt_conversion","receiving_2pt_conversion","passing_yards_points","passing_td_points","passing_2pt_points","rushing_yards_points","rushing_td_points","rushing_first_down_points","rushing_attempt_points","rushing_2pt_points","receiving_yards_points","receiving_td_points","receiving_first_down_points","receiving_2pt_points","receptions_points","target_points","sack_points","tackle_points","assisted_tackle_points","tackle_for_loss_points","forced_fumble_points","fumble_recovery_points","interception_points","pass_defended_points","safety_points","block_points","fumble_recovery_td_points","total_points"
"A.J. Brown","WR",2019,"sleeper",142,1051,8,52,30,60,1,2,3,1051,39,1111,9,41,0,0,3,0,51,82,0,0,0,0,0,0,6,6,2,1.5,0,105.1,48,39,0,127.5,0,0,0,0,0,0,0,0,0,0,0,0,335.1
"A.J. Brown","WR",2020,"sleeper",144,1075,11,70,34,0,0,0,0,1075,55,1075,13,55,1,0,51,1,69,104,0,0,0,0,0,0,0,0,0,0,0,107.5,72,55,0,172.5,0,0,0,0,0,0,0,0,0,0,0,0,407
"A.J. Brown","WR",2021,"sleeper",95,801,4,59,40,10,0,1,2,801,41,811,4,44,0,0,88,0,57,97,0,0,0,0,0,0,1,0,1,1,0,80.1,24,41,0,142.5,0,0,0,0,0,0,0,0,0,0,0,0,290.6
"A.J. Brown","WR",2022,"sleeper",146,1401,11,84,48,0,0,0,0,1401,55,1401,12,55,2,0,12,1,82,132,0,0,0,0,0,0,0,0,0,0,0,140.1,72,55,0,205,0,0,0,0,0,0,0,0,0,0,0,0,472.1
"A.J. Brown","WR",2023,"sleeper",143,1447,7,105,48,0,0,0,0,1447,70,1447,8,70,1,0,22,1,105,153,0,0,0,0,0,0,0,0,0,0,0,144.7,48,70,0,262.5,0,0,0,0,0,0,0,0,0,0,0,0,525.2
"A.J. Brown","WR",2024,"sleeper",139,1079,7,67,28,0,0,0,0,1079,51,1079,7,51,0,0,17,0,67,95,0,0,0,0,0,0,0,0,0,0,0,107.9,42,51,0,167.5,0,0,0,0,0,0,0,0,0,0,0,0,368.4
"A.J. Derby","TE",2016,"sleeper",73,160,0,16,4,0,0,0,0,160,7,160,0,7,1,0,0,0,16,20,0,0,0,0,0,0,0,0,0,0,0,16,0,7,0,56,0,0,0,0,0,0,0,0,0,0,0,0,79
"A.J. Derby","TE",2017,"sleeper",83,244,2,21,19,0,0,0,0,244,11,244,2,11,1,0,11,0,21,40,0,0,0,0,0,0,0,0,0,0,0,24.4,12,11,0,73.5,0,0,0,0,0,0,0,0,0,0,0,0,120.9
"A.J. Derby","TE",2018,"sleeper",15,48,1,3,2,0,0,0,0,48,3,48,1,3,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,4.8,6,3,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,24.3
"A.J. Dillon","RB",2020,"sleeper",76,21,0,2,0,242,2,11,46,21,1,263,2,12,0,0,0,0,2,2,0,0,0,0,0,0,24.2,12,11,23,0,2.1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,78.3
"A.J. Dillon","RB",2021,"sleeper",140,309,2,33,3,740,5,47,173,309,15,1049,7,63,1,0,0,0,31,36,0,0,0,0,0,0,74,30,47,86.5,0,30.9,12,15,0,77.5,0,0,0,0,0,0,0,0,0,0,0,0,372.9
"A.J. Dillon","RB",2022,"sleeper",139,206,0,28,12,737,7,44,177,206,9,943,7,54,0,0,0,0,26,40,0,0,0,0,0,0,73.7,42,44,88.5,0,20.6,0,9,0,65,0,0,0,0,0,0,0,0,0,0,0,0,342.8
"A.J. Green","WR",2014,"sleeper",126,1041,6,69,41,2,0,0,2,1041,46,1043,8,46,2,0,159,2,68,110,0,0,0,0,0,0,0.2,0,0,1,0,104.1,48,46,0,170,0,0,0,0,0,0,0,0,0,0,0,0,369.3
"A.J. Green","WR",2015,"sleeper",146,1297,10,86,43,0,0,0,0,1297,63,1297,10,64,1,0,39,0,85,129,0,0,0,0,0,0,0,0,0,0,0,129.7,60,63,0,212.5,0,0,0,0,0,0,0,0,0,0,0,0,465.2
"A.J. Green","WR",2016,"sleeper",57,964,4,66,34,0,0,0,0,964,41,964,4,42,0,0,0,0,63,100,0,0,0,0,0,0,0,0,0,0,0,96.4,24,41,0,157.5,0,0,0,0,0,0,0,0,0,0,0,0,318.9
"A.J. Green","WR",2017,"sleeper",147,1086,8,75,61,0,0,0,0,1078,55,1086,8,55,2,0,77,0,74,136,0,0,0,0,0,0,0,0,0,0,0,107.8,48,55,0,185,0,0,0,0,0,0,0,0,0,0,0,0,395.8
"A.J. Green","WR",2018,"sleeper",49,694,6,46,29,0,0,0,0,694,37,694,7,37,1,1,48,1,46,75,0,0,0,0,0,0,0,0,0,0,0,69.4,42,37,0,115,0,0,0,0,0,0,0,0,0,0,0,0,263.4
"A.J. Green","WR",2020,"sleeper",144,523,2,47,54,0,0,0,0,523,34,523,2,34,0,0,12,0,46,101,0,0,0,0,0,0,0,0,0,0,0,52.3,12,34,0,115,0,0,0,0,0,0,0,0,0,0,0,0,213.3
"A.J. Green","WR",2021,"sleeper",132,825,3,50,31,0,0,0,0,825,36,825,3,36,0,1,50,0,50,81,0,0,0,0,0,0,0,0,0,0,0,82.5,18,36,0,125,0,0,0,0,0,0,0,0,0,0,0,0,261.5
"A.J. Green","WR",2022,"sleeper",104,145,1,21,19,0,0,0,0,145,9,147,1,9,0,2,23,0,20,40,0,0,1,0,0,0,0,0,0,0,0,14.5,6,9,2,50,0,0,0,0,0,0,0,0,0,0,0,0,81.5
"A.J. Jenkins","WR",2014,"sleeper",40,93,0,9,6,-2,0,0,2,93,5,91,0,5,0,0,0,0,7,15,0,0,0,0,0,0,-0.2,0,0,1,0,9.3,0,5,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,32.6
"A.J. McCarron","QB",2015,"sleeper",87,854,6,79,38,37,0,3,9,854,44,828,7,49,1,0,50,1,0,0,0,0,0,34.16,36,0,3.7,0,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.36
"A.T. Perry","WR",2023,"sleeper",97,193,2,9,6,0,0,0,0,193,7,193,2,7,0,0,0,0,9,15,0,0,0,0,0,0,0,0,0,0,0,19.3,12,7,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,60.8
"AJ Barner","TE",2024,"sleeper",123,211,3,25,7,0,0,0,0,211,14,211,3,14,0,0,0,0,24,32,0,0,0,0,0,0,0,0,0,0,0,21.1,18,14,0,84,0,0,0,0,0,0,0,0,0,0,0,0,137.1
"AJ Dillon","RB",2023,"sleeper",132,223,0,22,6,613,2,32,178,223,10,836,2,42,0,0,0,0,21,28,0,0,0,0,0,0,61.3,12,32,89,0,22.3,0,10,0,52.5,0,0,0,0,0,0,0,0,0,0,0,0,279.1
"AJ McCarron","QB",2017,"sleeper",29,66,0,7,7,0,0,0,0,66,3,57,0,4,0,0,0,0,0,0,0,0,0,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64
"AJ McCarron","QB",2018,"sleeper",9,8,0,1,2,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
"AJ McCarron","QB",2019,"sleeper",28,225,0,21,15,39,1,3,5,225,11,221,1,14,0,0,0,0,0,0,0,0,0,9,0,0,3.9,6,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4
"AJ McCarron","QB",2020,"sleeper",31,20,0,1,0,0,0,0,0,20,1,8,0,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
"AJ McCarron","QB",2023,"sleeper",14,-1,0,1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04
