position,model_type,rmse,mae,r2,correlation
QB,lgb,138.2548315024701,102.0665825406691,0.45270616079833337,0.6735719098065363
QB,catboost,136.81758136994827,99.17098788633902,0.46402597553819436,0.6833975830136345
QB,ensemble,136.64738824496814,100.01699614943821,0.46535858729160995,0.6830632571251661
RB,lgb,140.44715866340871,103.34617013399097,0.4740284764270323,0.6990071726584337
RB,catboost,137.7079627546156,100.21474210542121,0.4943448631780786,0.7155111836428996
RB,ensemble,138.36226054651132,101.50539776277965,0.4895283656928806,0.7128319788103783
WR,lgb,106.60513977456147,78.37227775388851,0.5383865012527064,0.7341965393632373
WR,catboost,106.47162839627201,78.68559149472424,0.5395420189271638,0.7350202099027203
WR,ensemble,105.78649738642952,77.9420840883949,0.5454489263200724,0.7391114666079543
TE,lgb,105.9903116529391,76.0181817457899,0.4732352521811093,0.6892546247029155
TE,catboost,102.54249817354197,71.20148745595627,0.5069486498520355,0.7153915997402925
TE,ensemble,103.68688852297682,73.47371364963915,0.49588218008002627,0.707119392528896
