player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label,starter_probability,original_projected_points,point_change,expected_games_played,injury_risk_score,age_multiplier,player_multiplier,games_adjustment,injury_risk_category
00-0034796,Lamar Jackson,QB,BAL,740.9145436052468,High,610.8800019025803,18.0,28.6,1.0,1.0,1,Elite QB1,0.98,791.1775905332408,-50.26304692799408,15.92,1.08,1.0,0.9,0.9364705882352942,Low Risk
00-0034857,Josh Allen,QB,BUF,734.0658823529411,High,692.3000030517578,19.0,29.3,2.0,2.0,1,Elite QB1,0.98,778.0,-43.93411764705888,16.04,0.96,1.0,0.8,0.9435294117647058,Low Risk
00-0036389,Jalen Hurts,QB,PHI,696.7969171373081,High,606.8199920654297,18.0,27.1,3.0,3.0,1,Elite QB1,0.95,749.7182019831796,-52.92128484587147,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0033873,Patrick Mahomes,QB,KC,675.3013733380876,High,545.2600021362305,20.0,30.0,4.0,4.0,2,QB1,0.98,718.4057163171144,-43.1043429790268,15.98,1.02,1.0,0.85,0.9400000000000001,Low Risk
00-0037834,Brock Purdy,QB,SF,543.4360931601256,High,486.4599895477295,19.0,25.7,5.0,5.0,2,QB1,0.9,584.7097204887426,-41.27362732861707,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0034855,Baker Mayfield,QB,TB,518.9970555167409,High,469.59999656677246,19.0,30.4,6.0,6.0,2,QB1,0.9,567.0276313486244,-48.030575831883425,15.56,1.44,1.2,1.0,0.9152941176470588,Low Risk
00-0036442,Joe Burrow,QB,CIN,517.9737645375503,High,215.66000080108645,10.0,28.7,7.0,7.0,2,QB1,0.95,557.3135441226807,-39.33977958513037,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0033106,Jared Goff,QB,DET,484.99589149841415,High,461.3799958229065,20.0,30.9,8.0,8.0,2,QB1,0.95,529.8798300432545,-44.88393854484036,15.56,1.44,1.2,1.0,0.9152941176470588,Low Risk
00-0036264,Jordan Love,QB,GB,473.9546983326288,High,501.3999996185303,19.0,26.8,9.0,9.0,2,QB1,0.9,509.9512576996639,-35.996559367035104,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0036355,Justin Herbert,QB,LAC,466.9199682091586,High,332.6599941253662,13.0,27.5,10.0,10.0,2,QB1,0.95,502.38224427567695,-35.46227606651837,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0039163,C.J. Stroud,QB,HOU,464.6817717250932,High,414.9799995422363,17.0,23.9,11.0,11.0,2,QB1,0.95,494.34231034584377,-29.66053862075057,15.98,1.02,0.85,1.0,0.9400000000000001,Low Risk
00-0035228,Kyler Murray,QB,ARI,448.2221866820692,High,211.85999870300293,8.0,28.1,16.0,12.0,2,QB1,0.9,482.26437807564406,-34.04219139357485,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0036971,Trevor Lawrence,QB,JAX,380.4175660350307,High,402.54000091552734,16.0,25.9,29.0,13.0,3,QB2,0.9,409.31003940477984,-28.892473369749155,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0026498,Matthew Stafford,QB,LA,366.99314876105007,High,350.2799987792969,16.0,37.6,34.0,14.0,3,QB2,0.9,413.719066905693,-46.72591814464295,15.08,1.92,1.6,1.0,0.8870588235294118,Medium Risk
00-0036212,Tua Tagovailoa,QB,MIA,363.99413035167595,High,408.8199977874756,18.0,27.5,35.0,15.0,3,QB2,0.9,407.0986984196376,-43.10456806796168,15.2,1.7999999999999998,1.0,1.5,0.8941176470588235,Medium Risk
00-0030565,Geno Smith,QB,SEA,327.69973085540363,High,317.2599914520979,15.0,34.9,45.0,16.0,3,QB2,0.8,358.02669823533813,-30.3269673799345,15.56,1.44,1.2,1.0,0.9152941176470588,Low Risk
00-0033077,Dak Prescott,QB,DAL,327.3571818422671,High,527.9599952697754,18.0,32.1,46.0,17.0,3,QB2,0.9,357.65244802818387,-30.295266185916773,15.56,1.44,1.2,1.0,0.9152941176470588,Low Risk
00-0031280,Derek Carr,QB,NO,320.16651263189067,High,329.1199951171875,17.0,34.4,52.0,18.0,3,QB2,0.85,349.7963184281582,-29.629805796267533,15.56,1.44,1.2,1.0,0.9152941176470588,Low Risk
00-0029604,Kirk Cousins,QB,ATL,307.34594212281183,High,216.7399978637696,8.0,37.0,57.0,19.0,3,QB2,0.85,346.4775209607295,-39.13157883791769,15.08,1.92,1.6,1.0,0.8870588235294118,Medium Risk
00-0039150,Bryce Young,QB,CAR,295.0039298726475,High,244.3799934387207,16.0,24.1,64.0,20.0,3,QB2,0.8,313.833967949625,-18.830038076977473,15.98,1.02,0.85,1.0,0.9400000000000001,Low Risk
00-0034869,Sam Darnold,QB,MIN,267.9644424855517,High,44.88000011444092,10.0,28.2,83.0,21.0,3,QB2,0.6,288.3161722945809,-20.351729809029223,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0029263,Russell Wilson,QB,PIT,233.6307816633454,High,408.8999977111816,15.0,36.8,109.0,22.0,3,QB2,0.55,270.2587975147572,-36.62801585141179,14.696,2.304,1.6,1.2,0.8644705882352941,Medium Risk
00-0023459,Aaron Rodgers,QB,NYJ,231.60901701612744,Low,0.0,1.0,41.7,110.0,23.0,3,QB2,0.85,275.1085305529742,-43.499513536846734,14.312000000000001,2.6879999999999997,1.6,1.4,0.8418823529411765,High Risk
00-0039164,Anthony Richardson,QB,IND,192.29609477645894,Medium,99.18000030517578,4.0,23.3,157.0,24.0,3,QB2,0.75,204.5703135919776,-12.274218815518651,15.98,1.02,0.85,1.0,0.9400000000000001,Low Risk
00-0036945,Justin Fields,QB,PIT,171.35250035404553,High,393.1800003051758,13.0,26.5,219.0,25.0,4,Backup,0.36,184.3666143049857,-13.014113950940157,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0039152,Will Levis,QB,TEN,161.65016609025164,High,151.51999950408936,9.0,26.2,359.0,26.0,4,Backup,0.75,173.92739389457455,-12.277227804322905,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0033537,Deshaun Watson,QB,CLE,141.07434428485416,High,131.29999828338623,6.0,30.0,384.0,27.0,4,Backup,0.85,155.3279697436866,-14.253625458832431,15.44,1.56,1.0,1.3,0.908235294117647,Medium Risk
00-0035289,Gardner Minshew,QB,LV,138.7739421213879,High,274.1999969482422,16.0,29.3,388.0,28.0,4,Backup,0.6,149.31373519389837,-10.539793072510463,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
