player_id,player_name,position,team,projected_points,confidence,overall_rank,position_rank,tier,tier_label
00-0023459,Aaron Rodgers,QB,NYJ,315.50103186436314,85,317.0,1.0,1.0,Elite QB1
00-0039150,Bryce Young,QB,CAR,314.9104600861642,95,322.0,2.0,3.0,QB2
00-0026498,Matthew Stafford,QB,LA,311.7845075877964,85,333.0,3.0,4.0,Backup
00-0034855,Baker Mayfield,QB,TB,310.29279619481184,95,341.0,4.0,2.0,QB1
00-0035228,Kyler Murray,QB,ARI,309.0342854885484,70,349.0,5.0,4.0,Backup
00-0034796,Lamar Jackson,QB,BAL,306.46996998005955,95,362.0,6.0,4.0,Backup
00-0036264,Jordan Love,QB,GB,304.4277410760134,70,376.0,7.0,4.0,Backup
00-0033106,Jared Goff,QB,DET,303.17082865236875,85,380.0,8.0,4.0,Backup
00-0037834,Brock Purdy,QB,SF,302.6389693262282,95,381.0,9.0,3.0,QB2
00-0039152,Will Levis,QB,TEN,299.80638168283184,75,402.0,10.0,4.0,Backup
00-0035282,Easton Stick,QB,LAC,291.72547914358745,75,440.0,11.0,4.0,Backup
00-0033275,PJ Walker,QB,SEA,291.11770338390556,85,443.0,12.0,4.0,Backup
00-0034899,John Wolford,QB,JAX,290.93965626123384,85,444.0,13.0,4.0,Backup
00-0034869,Sam Darnold,QB,MIN,289.82273848035,85,447.0,14.0,4.0,Backup
00-0036879,Sam Ehlinger,QB,IND,289.29072430391494,75,450.0,15.0,4.0,Backup
00-0035289,Gardner Minshew,QB,LV,287.1830234169256,70,455.0,16.0,4.0,Backup
00-0039164,Anthony Richardson,QB,IND,287.01687847259507,60,456.0,17.0,2.0,QB1
00-0036442,Joe Burrow,QB,CIN,285.8714222139068,70,459.0,18.0,4.0,Backup
00-0026158,Joe Flacco,QB,IND,285.3897984923,70,461.0,19.0,4.0,Backup
00-0031503,Jameis Winston,QB,CLE,283.47467278789156,70,462.0,20.0,4.0,Backup
00-0038128,Malik Willis,QB,GB,283.24548381569844,85,465.0,21.0,4.0,Backup
00-0035704,Drew Lock,QB,NYG,281.31310537938185,70,468.0,22.0,4.0,Backup
00-0033662,Cooper Rush,QB,DAL,281.2227885374501,70,469.0,23.0,4.0,Backup
00-0033949,Joshua Dobbs,QB,SF,279.3372987642184,70,472.0,24.0,4.0,Backup
00-0034771,Mason Rudolph,QB,TEN,279.1536245875817,85,473.0,25.0,4.0,Backup
00-0033936,C.J. Beathard,QB,JAX,277.66619362952986,85,475.0,26.0,3.0,QB2
00-0039910,Jayden Daniels,QB,WAS,272.68631461923474,95,478.0,27.0,4.0,Backup
00-0039732,Bo Nix,QB,DEN,272.68631461923474,95,478.0,27.0,2.0,QB1
00-0039163,C.J. Stroud,QB,HOU,270.3166867208875,95,481.0,29.0,3.0,QB2
00-0034177,Tim Boyle,QB,NYG,269.385381873086,85,483.0,30.0,4.0,Backup
00-0035146,Trace McSorley,QB,WAS,267.63230683746866,85,490.0,31.0,4.0,Backup
00-0039918,Caleb Williams,QB,CHI,265.610227158552,95,493.0,32.0,3.0,QB2
