player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label
00-0037840,Kyren Williams,RB,LA,561.0,High,509.3000011444092,13.0,25.0,3.0,1.0,,Deep League
00-0038542,Bijan Robinson,RB,ATL,561.0,High,520.2999992370605,17.0,23.6,3.0,1.0,5.0,Handcuff
00-0037248,James Cook,RB,BUF,561.0,High,554.8000068664551,19.0,25.9,3.0,1.0,,Deep League
00-0035700,Josh Jacobs,RB,GB,550.0,High,404.1000003814697,13.0,27.6,7.0,4.0,,Deep League
00-0034844,Saquon Barkley,RB,PHI,550.0,High,483.7000045776367,14.0,28.6,7.0,4.0,,Deep League
00-0039139,Jahmyr Gibbs,RB,DET,549.7354969577399,Medium,576.9000015258789,18.0,23.5,9.0,6.0,5.0,Handcuff
00-0033906,Alvin Kamara,RB,NO,533.5,High,495.50000381469727,13.0,30.1,10.0,7.0,5.0,Handcuff
00-0032764,Derrick Henry,RB,BAL,533.5,Medium,502.659996509552,17.0,31.7,10.0,7.0,5.0,Handcuff
00-0038120,Breece Hall,RB,NYJ,529.1679808467543,High,582.5000038146973,17.0,24.3,12.0,9.0,5.0,Handcuff
00-0039040,De'Von Achane,RB,MIA,520.6718394699488,High,340.2000026702881,12.0,23.9,14.0,10.0,5.0,Handcuff
00-0036223,Jonathan Taylor,RB,IND,483.1212042598245,High,316.4000062942505,10.0,26.6,21.0,11.0,,Deep League
00-0035261,Tony Pollard,RB,TEN,460.8711332491167,High,544.0999984741211,18.0,28.3,22.0,12.0,,Deep League
00-0037256,Rachaad White,RB,TB,457.5360046571981,High,633.5000038146973,19.0,26.6,25.0,13.0,,Deep League
00-0036893,Najee Harris,RB,PIT,433.7737453132801,High,447.2000045776367,18.0,27.5,27.0,14.0,,Deep League
00-0035685,David Montgomery,RB,DET,425.9416593703009,High,491.50000381469727,17.0,28.2,29.0,15.0,5.0,Handcuff
00-0033897,Joe Mixon,RB,HOU,418.6163781739653,High,544.5000038146973,17.0,29.1,31.0,16.0,,Deep League
00-0033553,James Conner,RB,ARI,418.2027982895417,High,415.0,13.0,30.3,32.0,17.0,,Deep League
00-0036275,D'Andre Swift,RB,CHI,415.6846070380292,High,456.90000343322754,17.0,26.6,34.0,18.0,5.0,Handcuff
00-0033293,Aaron Jones,RB,MIN,414.5421300712064,High,387.09999656677246,13.0,30.7,35.0,19.0,5.0,Handcuff
00-0036555,Chuba Hubbard,RB,CAR,406.76741223189816,High,434.0000057220459,17.0,26.2,38.0,20.0,5.0,Handcuff
00-0037746,Brian Robinson,RB,WAS,392.99483616142345,High,405.60000228881836,15.0,26.4,41.0,21.0,5.0,Handcuff
00-0038134,Kenneth Walker III,RB,SEA,367.74216434617784,High,407.4000015258789,15.0,24.9,52.0,22.0,,Deep League
00-0036875,Rhamondre Stevenson,RB,NE,354.0619619356519,High,332.70000076293945,12.0,27.5,58.0,23.0,,Deep League
00-0036139,Rico Dowdle,RB,DAL,348.4150149538319,High,195.50000095367432,17.0,27.2,63.0,24.0,,Deep League
00-0036973,Travis Etienne,RB,JAX,342.5000266417245,High,575.9000015258789,17.0,26.6,66.0,25.0,,Deep League
00-0039032,Tyjae Spears,RB,TEN,328.7894535158815,High,328.79999923706055,17.0,24.2,74.0,26.0,,Deep League
00-0036997,Javonte Williams,RB,DEN,313.77249105387,High,408.20000076293945,16.0,25.4,83.0,27.0,,Deep League
00-0037228,Jaylen Warren,RB,PIT,310.84805320028704,High,438.8000030517578,18.0,26.8,85.0,28.0,,Deep League
00-0036158,J.K. Dobbins,RB,LAC,309.6849589545278,High,19.700000047683716,1.0,26.7,87.0,29.0,5.0,Handcuff
00-0033699,Austin Ekeler,RB,WAS,305.143830141373,High,418.20000076293945,14.0,30.3,91.0,30.0,5.0,Handcuff
00-0037267,Jerome Ford,RB,CLE,292.7751620197342,High,447.9000015258789,18.0,26.0,98.0,31.0,,Deep League
00-0039165,Zach Charbonnet,RB,SEA,290.45829081771757,High,248.60000038146973,16.0,24.6,100.0,32.0,,Deep League
00-0038597,Chase Brown,RB,CIN,289.75877344119016,High,106.5,10.0,25.4,101.0,33.0,5.0,Handcuff
00-0038794,Jaleel McLaughlin,RB,DEN,289.17096491782524,High,211.5,17.0,25.0,102.0,34.0,5.0,Handcuff
00-0033955,Jeremy McNichols,RB,WAS,277.2030407860891,High,153.10000038146973,13.0,29.7,107.0,35.0,,Deep League
00-0035250,Devin Singletary,RB,NYG,273.572477051086,High,427.3399984687567,19.0,28.0,109.0,36.0,5.0,Handcuff
00-0034972,Alexander Mattison,RB,LV,269.416836119446,High,305.20000076293945,16.0,27.2,113.0,37.0,5.0,Handcuff
00-0033280,Christian McCaffrey,RB,SF,260.8088235938517,High,920.7999954223633,19.0,29.2,119.0,38.0,5.0,Handcuff
00-0036265,AJ Dillon,RB,GB,260.63724612386216,High,358.6000003814697,17.0,27.3,121.0,39.0,5.0,Handcuff
00-0038555,Tank Bigsby,RB,JAX,253.85349021278105,High,65.30000078678131,13.0,23.0,125.0,40.0,,Deep League
00-0034975,Justice Hill,RB,BAL,245.14668927091134,High,262.6999988555908,18.0,27.8,137.0,41.0,,Deep League
00-0037197,Isiah Pacheco,RB,KC,242.89498641635396,High,592.7000045776367,18.0,26.5,140.0,42.0,5.0,Handcuff
00-0037263,Tyler Allgeier,RB,ATL,241.31838754086868,High,301.10000228881836,17.0,25.4,142.0,43.0,,Deep League
00-0036328,Antonio Gibson,RB,NE,229.4593708846762,High,267.9000015258789,16.0,27.2,159.0,44.0,5.0,Handcuff
00-0033923,Kareem Hunt,RB,KC,228.27088597596227,Medium,286.5000009536743,16.0,30.1,161.0,45.0,,Deep League
00-0036251,Zack Moss,RB,CIN,226.41017536175372,High,352.60000228881836,14.0,27.7,164.0,46.0,,Deep League
00-0039021,Roschon Johnson,RB,CHI,213.59401241715716,High,215.60000038146973,15.0,24.6,180.0,47.0,,Deep League
00-0037525,Jordan Mason,RB,SF,207.21408547693005,High,83.20000052452087,9.0,26.3,188.0,48.0,,Deep League
00-0031687,Raheem Mostert,RB,MIA,205.49808319980784,High,488.20000076293945,16.0,33.4,191.0,49.0,,Deep League
00-0038685,Chris Brooks,RB,GB,198.30607859214825,Medium,22.100000381469727,3.0,25.6,230.0,50.0,5.0,Handcuff
00-0034367,Nyheim Hines,RB,CLE,191.29006009028114,High,232.60000038146973,17.0,28.8,366.0,51.0,,Deep League
00-0036919,Kenneth Gainwell,RB,PHI,190.6399801830538,High,224.18000000715256,17.0,26.5,367.0,52.0,,Deep League
00-0033526,Samaje Perine,RB,KC,187.56822625490003,High,263.8000011444092,17.0,30.0,372.0,53.0,,Deep League
00-0035243,Miles Sanders,RB,CAR,177.93159168335762,High,234.60000133514404,16.0,28.3,380.0,54.0,,Deep League
00-0032104,Ameer Abdullah,RB,LV,177.21614067126663,High,87.00000095367432,16.0,32.2,381.0,55.0,5.0,Handcuff
00-0034791,Nick Chubb,RB,CLE,176.85649456646942,Medium,52.10000014305115,2.0,29.7,382.0,56.0,,Deep League
00-0035537,Ty Johnson,RB,BUF,176.30667211040557,Medium,91.70000076293945,9.0,28.0,384.0,57.0,,Deep League
00-0033556,Tarik Cohen,RB,NYJ,171.63525463254769,Medium,347.4000015258789,16.0,30.1,388.0,58.0,,Deep League
00-0036567,Elijah Mitchell,RB,SF,168.6711211149091,High,120.90000081062317,7.0,27.3,393.0,59.0,5.0,Handcuff
00-0037286,Kevin Harris,RB,NE,163.97240340349782,Medium,23.200000286102295,5.0,24.8,398.0,60.0,,Deep League
00-0033045,Ezekiel Elliott,RB,LAC,162.64084101030167,High,390.0000057220459,17.0,30.1,401.0,61.0,5.0,Handcuff
00-0037276,Ty Chandler,RB,MIN,155.5630564772852,High,210.49999904632568,13.0,27.3,406.0,62.0,,Deep League
00-0034184,Gus Edwards,RB,LAC,149.9622996820222,High,384.5,19.0,30.4,411.0,63.0,5.0,Handcuff
00-0033308,Matt Breida,RB,SF,147.708806512486,High,154.80000114440918,19.0,30.5,414.0,64.0,,Deep League
00-0036414,Cam Akers,RB,MIN,142.0927767904567,High,107.20000076293945,7.0,26.2,423.0,65.0,5.0,Handcuff
00-0038611,Chris Rodriguez Jr.,RB,WAS,138.67399002656708,Medium,83.40000081062317,8.0,25.9,426.0,66.0,5.0,Handcuff
00-0036906,Khalil Herbert,RB,CIN,136.51507683492707,High,249.00000190734863,12.0,27.4,430.0,67.0,,Deep League
00-0038040,Zamir White,RB,LV,136.4564564883123,High,173.39999866485596,13.0,26.0,431.0,68.0,,Deep League
00-0033925,D'Onta Foreman,RB,CLE,134.43280954949384,Medium,192.2000002861023,9.0,29.4,435.0,69.0,5.0,Handcuff
00-0030578,Cordarrelle Patterson,RB,PIT,130.27312599459088,Medium,86.40000033378601,12.0,34.5,444.0,70.0,5.0,Handcuff
00-0037258,Dameon Pierce,RB,HOU,130.05746794908407,High,187.19999885559082,14.0,25.5,445.0,71.0,5.0,Handcuff
00-0034433,Nick Bawden,RB,HOU,127.96180427332042,Medium,5.5,1.0,29.2,450.0,72.0,,Deep League
00-0037085,Tyler Badie,RB,DEN,127.7252084329566,Medium,12.400000095367432,1.0,26.6,451.0,73.0,,Deep League
00-0036360,Clyde Edwards-Helaire,RB,NO,125.69342258213045,High,175.10000038146973,19.0,26.4,452.0,74.0,5.0,Handcuff
00-0035831,James Robinson,RB,NO,124.58747710282935,High,187.09999990463257,11.0,27.1,455.0,75.0,,Deep League
00-0039573,Blake Watson,RB,DEN,121.54010447324156,Low,,,25.9,459.0,76.0,5.0,Handcuff
00-0037609,Aaron Shampklin,RB,PIT,121.54010447324156,Low,,,25.9,459.0,76.0,5.0,Handcuff
00-0039703,Cody Schrader,RB,LA,121.54010447324156,Low,,,26.0,459.0,76.0,5.0,Handcuff
00-0039271,Jarveon Howard,RB,GB,121.54010447324156,Low,,,25.8,459.0,76.0,,Deep League
00-0038910,SaRodorick Thompson Jr.,RB,LA,121.54010447324156,Low,,,25.9,459.0,76.0,,Deep League
00-0039405,Jawhar Jordan,RB,HOU,121.54010447324156,Low,,,26.0,459.0,76.0,,Deep League
00-0039384,Tyrone Tracy Jr.,RB,NYG,121.54010447324156,Low,,,25.8,459.0,76.0,,Deep League
00-0039603,British Brooks,RB,HOU,121.54010447324156,Low,,,25.8,459.0,76.0,5.0,Handcuff
00-0039595,D.J. Williams,RB,TB,121.54010447324156,Low,,,25.8,459.0,76.0,5.0,Handcuff
00-0039875,Ray Davis,RB,BUF,121.54010447324156,Low,,,25.8,459.0,76.0,,Deep League
00-0038656,Mohamed Ibrahim,RB,MIN,121.54010447324156,Low,,,26.0,459.0,76.0,,Deep League
00-0034681,Chase Edmonds,RB,TB,121.06064804272356,High,147.19999980926514,13.0,29.4,471.0,87.0,5.0,Handcuff
00-0039361,Bucky Irving,RB,TB,120.62848405330976,Low,,,23.0,472.0,88.0,5.0,Handcuff
00-0039874,Jaylen Wright,RB,MIA,120.62848405330976,Low,,,22.4,472.0,88.0,,Deep League
00-0039746,Will Shipley,RB,PHI,120.62848405330976,Low,,,23.0,472.0,88.0,,Deep League
00-0039373,Audric Estimé,RB,DEN,120.62848405330976,Low,,,22.0,472.0,88.0,5.0,Handcuff
00-0039344,Jonathon Brooks,RB,CAR,120.62848405330976,Low,,,22.1,472.0,88.0,,Deep League
00-0039325,Carson Steele,RB,KC,120.62848405330976,Low,,,22.9,472.0,88.0,5.0,Handcuff
00-0038389,Israel Abanikanda,RB,SF,120.62848405330976,Low,,,22.9,472.0,88.0,5.0,Handcuff
00-0039794,Braelon Allen,RB,NYJ,120.62848405330976,Low,,,21.6,472.0,88.0,5.0,Handcuff
00-0037299,Keaontay Ingram,RB,KC,119.73128439693063,High,42.59999990463257,10.0,25.9,482.0,96.0,,Deep League
