player_id,player_name,position,team,projected_points,confidence,overall_rank,position_rank,tier,tier_label
00-0034115,Jeff Wilson,RB,MIA,367.5,70,1.0,1.0,,Deep League
00-0033526,Samaje Perine,RB,KC,367.5,70,1.0,1.0,,Deep League
00-0034838,Royce Freeman,RB,LA,367.5,70,1.0,1.0,,Deep League
00-0033280,Christian McCaffrey,RB,SF,367.5,70,1.0,1.0,5.0,Handcuff
00-0036360,Clyde Edwards-Helaire,RB,NO,367.5,70,1.0,1.0,5.0,Handcuff
00-0030578,Cordarrelle Patterson,RB,PIT,367.5,85,1.0,1.0,5.0,Handcuff
00-0035567,Craig Reynolds,RB,DET,367.5,85,1.0,1.0,5.0,Handcuff
00-0036275,D'Andre Swift,RB,CHI,367.5,95,1.0,1.0,5.0,Handcuff
00-0035628,D'Ernest Johnson,RB,JAX,367.5,70,1.0,1.0,5.0,Handcuff
00-0034750,Rashaad Penny,RB,CAR,367.5,70,1.0,1.0,,Deep League
00-0033553,James Conner,RB,ARI,367.5,95,1.0,1.0,,Deep League
00-0033854,Dare Ogunbowale,RB,HOU,367.5,70,1.0,1.0,5.0,Handcuff
00-0035685,David Montgomery,RB,DET,367.5,95,1.0,1.0,5.0,Handcuff
00-0036425,DeeJay Dallas,RB,ARI,367.5,85,1.0,1.0,5.0,Handcuff
00-0034367,Nyheim Hines,RB,CLE,367.5,95,1.0,1.0,,Deep League
00-0032764,Derrick Henry,RB,BAL,367.5,95,1.0,1.0,5.0,Handcuff
00-0035250,Devin Singletary,RB,NYG,367.5,95,1.0,1.0,5.0,Handcuff
00-0035243,Miles Sanders,RB,CAR,367.5,85,1.0,1.0,,Deep League
00-0034208,Mike Boone,RB,CAR,367.5,85,1.0,1.0,,Deep League
00-0033308,Matt Breida,RB,SF,367.5,85,1.0,1.0,,Deep League
00-0029892,Kyle Juszczyk,RB,SF,367.5,95,1.0,1.0,,Deep League
00-0033045,Ezekiel Elliott,RB,LAC,367.5,95,1.0,1.0,5.0,Handcuff
00-0033923,Kareem Hunt,RB,KC,367.5,70,1.0,1.0,,Deep League
00-0034184,Gus Edwards,RB,LAC,367.5,85,1.0,1.0,5.0,Handcuff
00-0034975,Justice Hill,RB,BAL,367.5,85,1.0,1.0,,Deep League
00-0035700,Josh Jacobs,RB,GB,367.5,95,1.0,1.0,,Deep League
00-0036223,Jonathan Taylor,RB,IND,367.5,85,1.0,1.0,,Deep League
00-0033897,Joe Mixon,RB,HOU,367.5,85,1.0,1.0,,Deep League
00-0034844,Saquon Barkley,RB,PHI,367.5,85,1.0,1.0,,Deep League
00-0034681,Chase Edmonds,RB,TB,367.5,95,1.0,1.0,5.0,Handcuff
00-0033893,Dalvin Cook,RB,DAL,367.5,70,1.0,1.0,5.0,Handcuff
00-0036328,Antonio Gibson,RB,NE,367.5,95,1.0,1.0,5.0,Handcuff
00-0033293,Aaron Jones,RB,MIN,367.5,95,1.0,1.0,5.0,Handcuff
00-0036251,Zack Moss,RB,CIN,367.5,95,1.0,1.0,,Deep League
00-0034972,Alexander Mattison,RB,LV,367.5,95,1.0,1.0,5.0,Handcuff
00-0033906,Alvin Kamara,RB,NO,367.5,95,1.0,1.0,5.0,Handcuff
00-0032104,Ameer Abdullah,RB,LV,367.5,70,1.0,1.0,5.0,Handcuff
00-0033699,Austin Ekeler,RB,WAS,367.5,95,1.0,1.0,5.0,Handcuff
00-0035537,Ty Johnson,RB,BUF,367.5,70,1.0,1.0,,Deep League
