player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label,starter_probability,original_projected_points,point_change,expected_games_played,injury_risk_score,age_multiplier,player_multiplier,games_adjustment,injury_risk_category
00-0034844,Saquon Barkley,RB,PHI,540.2941176470588,High,483.7000045776367,14.0,28.6,7.0,1.0,1,Elite RB1,,550.0,-182.53529411764703,11.358,5.642,1.4,1.3,0.6681176470588236,Very High Risk
00-0038542,Bijan Robinson,RB,ATL,458.7,High,520.2999992370605,17.0,23.6,13.0,2.0,1,Elite RB1,,561.0,-102.3,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0037248,James Cook,RB,BUF,458.7,High,554.8000068664551,19.0,25.9,13.0,2.0,1,Elite RB1,,561.0,-102.3,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0037840,Kyren Williams,RB,LA,458.7,High,509.3000011444092,13.0,25.0,13.0,2.0,1,Elite RB1,,561.0,-102.3,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0039139,Jahmyr Gibbs,RB,DET,449.4896122183873,Medium,576.9000015258789,18.0,23.5,16.0,5.0,1,Elite RB1,,549.7354969577399,-100.24588473935256,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0038120,Breece Hall,RB,NYJ,432.6726431629344,High,582.5000038146973,17.0,24.3,21.0,6.0,2,RB1,,529.1679808467543,-96.49533768381993,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0039040,De'Von Achane,RB,MIA,425.7257981548405,High,340.2000026702881,12.0,23.9,24.0,7.0,2,RB1,,520.6718394699488,-94.94604131510836,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0035261,Tony Pollard,RB,TEN,411.85613272474006,High,544.0999984741211,18.0,28.3,25.0,8.0,2,RB1,,460.8711332491167,-117.65768931183334,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
00-0035700,Josh Jacobs,RB,GB,409.5882352941177,High,404.1000003814697,13.0,27.6,27.0,9.0,1,Elite RB1,,550.0,-140.41176470588232,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
00-0036223,Jonathan Taylor,RB,IND,395.0226317183271,High,316.4000062942505,10.0,26.6,29.0,10.0,2,RB1,,483.1212042598245,-88.09857254149739,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0032764,Derrick Henry,RB,BAL,375.89782352941177,Medium,502.659996509552,17.0,31.7,33.0,11.0,2,RB1,,533.5,-157.60217647058823,11.978,5.022,1.8,0.9,0.7045882352941176,Very High Risk
00-0037256,Rachaad White,RB,TB,374.1029685138267,High,633.5000038146973,19.0,26.6,34.0,12.0,2,RB1,,457.5360046571981,-83.4330361433714,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0036275,D'Andre Swift,RB,CHI,339.8832963428591,High,456.90000343322754,17.0,26.6,39.0,13.0,2,RB1,,415.6846070380292,-75.80131069517006,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0036555,Chuba Hubbard,RB,CAR,332.59217823666967,High,434.0000057220459,17.0,26.2,44.0,14.0,3,RB2,,406.76741223189816,-74.1752339952285,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0033906,Alvin Kamara,RB,NO,323.3637647058824,High,495.50000381469727,13.0,30.1,49.0,15.0,2,RB1,,533.5,-210.13623529411765,10.304,6.696,1.8,1.2,0.6061176470588235,Very High Risk
