player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label
00-0039065,Sam LaPorta,TE,DET,459.0,High,606.9000000059605,20.0,24.6,23.0,1.0,,Deep League
00-0037744,Trey McBride,TE,ARI,459.0,High,432.0,17.0,25.8,23.0,1.0,,Deep League
00-0033288,George Kittle,TE,SF,436.5,High,458.40000458061695,19.0,31.9,26.0,3.0,,Deep League
00-0030506,Travis Kelce,TE,KC,414.0,High,691.3999938964844,19.0,35.9,36.0,4.0,,Deep League
00-0034753,Mark Andrews,TE,BAL,365.2602182087527,High,283.9000015258789,11.0,30.0,53.0,5.0,,Deep League
00-0033885,David Njoku,TE,CLE,359.37640542147284,High,492.5,17.0,29.1,55.0,6.0,,Deep League
00-0030061,Zach Ertz,TE,WAS,335.21756749023217,High,127.20000076293945,7.0,34.8,71.0,7.0,,Deep League
00-0038933,Dalton Kincaid,TE,BUF,322.0557732138271,High,413.2000045776367,18.0,25.9,78.0,8.0,,Deep League
00-0035229,T.J. Hockenson,TE,MIN,321.1217411132503,High,506.5,15.0,28.2,79.0,9.0,,Deep League
00-0038041,Jake Ferguson,TE,DAL,318.9618081581209,High,463.9000015258789,18.0,26.6,80.0,10.0,,Deep League
00-0037809,Chig Okonkwo,TE,TEN,318.20590105373464,High,275.40000307559967,17.0,26.0,81.0,11.0,,Deep League
00-0033881,Evan Engram,TE,JAX,313.7331385541997,High,566.3000030517578,17.0,31.0,84.0,12.0,,Deep League
00-0034351,Dallas Goedert,TE,PHI,306.6473317120252,High,346.40000305324793,15.0,30.7,89.0,13.0,,Deep League
00-0038129,Cade Otton,TE,TB,302.57985261335136,High,332.60000228881836,18.0,26.4,93.0,14.0,,Deep League
00-0033858,Jonnu Smith,TE,MIA,299.17364351181067,High,277.70000076293945,15.0,30.0,96.0,15.0,,Deep League
00-0036894,Pat Freiermuth,TE,PIT,298.8446226601941,High,199.9000015258789,12.0,26.9,97.0,16.0,,Deep League
00-0034383,Dalton Schultz,TE,HOU,273.4417849759047,High,373.0,17.0,29.1,110.0,17.0,,Deep League
00-0031610,Darren Waller,TE,NYG,268.49424044855584,High,172.79999923706055,8.0,33.0,114.0,18.0,,Deep League
00-0036290,Cole Kmet,TE,CHI,259.3335606279395,High,403.10000152885914,15.0,26.5,122.0,19.0,,Deep League
