player_id,player_name,position,team,projected_points,confidence,overall_rank,position_rank,tier,tier_label
00-0036232,Harrison Bryant,TE,LV,262.5,85,496.0,1.0,,Deep League
00-0036290,Cole Kmet,TE,CHI,262.5,95,496.0,1.0,,Deep League
00-0034351,Dallas Goedert,TE,PHI,262.5,95,496.0,1.0,,Deep League
00-0036040,Juwan Johnson,TE,NO,262.5,85,496.0,1.0,,Deep League
00-0031610,Darren Waller,TE,NYG,262.5,70,496.0,1.0,,Deep League
00-0033885,David Njoku,TE,CLE,262.5,85,496.0,1.0,,Deep League
00-0035689,Dawson Knox,TE,BUF,262.5,95,496.0,1.0,,Deep League
00-0035249,Josh Oliver,TE,MIN,262.5,70,496.0,1.0,,Deep League
00-0035229,T.J. Hockenson,TE,MIN,262.5,95,496.0,1.0,,Deep League
00-0034364,Jordan Akins,TE,CLE,262.5,95,496.0,1.0,,Deep League
00-0035631,Drew Sample,TE,CIN,262.5,70,496.0,1.0,,Deep League
00-0034798,Durham Smythe,TE,MIA,262.5,85,496.0,1.0,,Deep League
00-0033858,Jonnu Smith,TE,MIA,262.5,95,496.0,1.0,,Deep League
00-0033246,Johnny Mundt,TE,MIN,262.5,70,496.0,1.0,,Deep League
00-0034613,Tanner Hudson,TE,CIN,262.5,85,496.0,1.0,,Deep League
00-0033576,Eric Saubert,TE,SF,262.5,85,496.0,1.0,,Deep League
00-0031690,Eric Tomlinson,TE,LAC,262.5,70,496.0,1.0,,Deep League
00-0033357,Taysom Hill,TE,NO,262.5,85,496.0,1.0,,Deep League
00-0033881,Evan Engram,TE,JAX,262.5,70,496.0,1.0,,Deep League
00-0034981,Foster Moreau,TE,NO,262.5,85,496.0,1.0,,Deep League
00-0033288,George Kittle,TE,SF,262.5,85,496.0,1.0,,Deep League
00-0033895,Gerald Everett,TE,CHI,262.5,95,496.0,1.0,,Deep League
00-0035259,Trevon Wesco,TE,LV,262.5,85,496.0,1.0,,Deep League
00-0034830,Hayden Hurst,TE,LAC,262.5,70,496.0,1.0,,Deep League
00-0030506,Travis Kelce,TE,KC,262.5,95,496.0,1.0,,Deep League
00-0033090,Hunter Henry,TE,NE,262.5,85,496.0,1.0,,Deep League
00-0033387,Jacob Hollister,TE,CAR,262.5,70,496.0,1.0,,Deep League
00-0034970,Irv Smith,TE,HOU,262.5,70,496.0,1.0,,Deep League
00-0036244,Colby Parkinson,TE,LA,262.5,70,496.0,1.0,,Deep League
00-0033757,Robert Tonyan,TE,KC,262.5,70,496.0,1.0,,Deep League
00-0034383,Dalton Schultz,TE,HOU,262.5,85,496.0,1.0,,Deep League
00-0036429,Charlie Woerner,TE,ATL,262.5,85,496.0,1.0,,Deep League
00-0036422,Adam Trautman,TE,DEN,262.5,85,496.0,1.0,,Deep League
00-0031585,MyCole Pruitt,TE,PIT,262.5,85,496.0,1.0,,Deep League
00-0030061,Zach Ertz,TE,WAS,262.5,85,496.0,1.0,,Deep League
00-0033217,Mo Alie-Cox,TE,IND,262.5,95,496.0,1.0,,Deep League
00-0032392,Austin Hooper,TE,NE,262.5,95,496.0,1.0,,Deep League
00-0032394,Nick Vannett,TE,TEN,262.5,70,496.0,1.0,,Deep League
00-0034829,Mike Gesicki,TE,CIN,262.5,95,496.0,1.0,,Deep League
00-0034159,Will Dissly,TE,LAC,262.5,85,496.0,1.0,,Deep League
00-0035644,Noah Fant,TE,SEA,262.5,95,496.0,1.0,,Deep League
00-0031260,Logan Thomas,TE,SF,262.5,70,496.0,1.0,,Deep League
00-0033439,Pharaoh Brown,TE,SEA,262.5,85,496.0,1.0,,Deep League
00-0034753,Mark Andrews,TE,BAL,262.5,95,496.0,1.0,,Deep League
00-0024243,Marcedes Lewis,TE,CHI,262.5,70,496.0,1.0,,Deep League
00-0032134,C.J. Uzomah,TE,PHI,262.5,70,496.0,1.0,,Deep League
00-0033110,Tyler Higbee,TE,LA,262.5,85,496.0,1.0,,Deep League
00-0034270,Tyler Conklin,TE,NYJ,262.5,70,496.0,1.0,,Deep League
00-0036332,Josiah Deguara,TE,JAX,260.2396860437248,70,546.0,49.0,,Deep League
00-0034365,Ian Thomas,TE,CAR,260.2396860437248,70,546.0,49.0,,Deep League
00-0034073,Ross Dwelley,TE,ATL,259.8999881750438,85,548.0,51.0,,Deep League
00-0033455,Anthony Firkser,TE,KC,257.8861668390144,70,549.0,52.0,,Deep League
00-0032141,Geoff Swaim,TE,CLE,257.8861668390144,70,549.0,52.0,,Deep League
00-0037277,Teagan Quitoriano,TE,HOU,250.0,75,556.0,54.0,,Deep League
00-0036970,Kyle Pitts,TE,ATL,250.0,85,556.0,54.0,,Deep League
00-0036876,Kylen Granson,TE,IND,250.0,95,556.0,54.0,,Deep League
00-0035771,Mitchell Wilcox,TE,NE,250.0,70,556.0,54.0,,Deep League
00-0037805,Jeremy Ruckert,TE,NYJ,250.0,70,556.0,54.0,,Deep League
00-0039144,Luke Musgrave,TE,GB,250.0,60,556.0,54.0,,Deep League
00-0039847,Theo Johnson,TE,NYG,250.0,75,556.0,54.0,,Deep League
00-0039420,Jaheim Bell,TE,NE,250.0,75,556.0,54.0,,Deep League
00-0039737,Tip Reiman,TE,ARI,250.0,75,556.0,54.0,,Deep League
00-0037539,Lucas Krull,TE,DEN,250.0,75,556.0,54.0,,Deep League
00-0036145,Lawrence Cager,TE,WAS,250.0,85,556.0,54.0,,Deep League
00-0037755,Jelani Woods,TE,IND,250.0,90,556.0,54.0,,Deep League
00-0038041,Jake Ferguson,TE,DAL,250.0,95,556.0,54.0,,Deep League
00-0036590,Quintin Morris,TE,BUF,250.0,85,556.0,54.0,,Deep League
00-0037311,Ko Kieft,TE,TB,250.0,60,556.0,54.0,,Deep League
00-0038589,Josh Whyle,TE,TEN,250.0,60,556.0,54.0,,Deep League
00-0035039,Stephen Carlson,TE,CHI,250.0,75,556.0,54.0,,Deep League
00-0038547,Luke Schoonmaker,TE,DAL,250.0,75,556.0,54.0,,Deep League
00-0038720,Julian Hill,TE,MIA,250.0,60,556.0,54.0,,Deep League
00-0037475,Stone Smartt,TE,LAC,250.0,70,556.0,54.0,,Deep League
00-0036887,Luke Farrell,TE,JAX,250.0,85,556.0,54.0,,Deep League
00-0036173,Tommy Hudson,TE,NO,250.0,75,556.0,54.0,,Deep League
00-0037569,Peyton Hendershot,TE,KC,250.0,85,556.0,54.0,,Deep League
00-0039050,Payne Durham,TE,TB,250.0,75,556.0,54.0,,Deep League
00-0036510,Kenny Yeboah,TE,NYJ,250.0,85,556.0,54.0,,Deep League
00-0036894,Pat Freiermuth,TE,PIT,250.0,95,556.0,54.0,,Deep League
00-0035572,Parker Hesse,TE,DET,250.0,75,556.0,54.0,,Deep League
00-0036637,Noah Gray,TE,KC,250.0,85,556.0,54.0,,Deep League
00-0039065,Sam LaPorta,TE,DET,250.0,95,556.0,54.0,,Deep League
00-0039066,Michael Mayer,TE,LV,250.0,75,556.0,54.0,,Deep League
00-0036628,John Bates,TE,WAS,250.0,85,556.0,54.0,,Deep League
00-0039356,Ja'Tavion Sanders,TE,CAR,250.0,95,556.0,54.0,,Deep League
00-0039793,AJ Barner,TE,SEA,250.0,95,556.0,54.0,,Deep League
00-0038933,Dalton Kincaid,TE,BUF,250.0,95,556.0,54.0,,Deep League
00-0037838,Isaiah Likely,TE,BAL,250.0,95,556.0,54.0,,Deep League
00-0036225,Dalton Keene,TE,HOU,250.0,75,556.0,54.0,,Deep League
00-0039613,Dallin Holker,TE,NO,250.0,75,556.0,54.0,,Deep League
00-0037304,Connor Heyward,TE,PIT,250.0,85,556.0,54.0,,Deep League
00-0037078,Cole Turner,TE,WAS,250.0,75,556.0,54.0,,Deep League
00-0035345,Chris Myarick,TE,HOU,250.0,75,556.0,54.0,,Deep League
00-0037809,Chig Okonkwo,TE,TEN,250.0,95,556.0,54.0,,Deep League
00-0038046,Charlie Kolar,TE,BAL,250.0,85,556.0,54.0,,Deep League
00-0039631,Cam Grandy,TE,CIN,250.0,75,556.0,54.0,,Deep League
00-0039359,Cade Stover,TE,HOU,250.0,95,556.0,54.0,,Deep League
00-0038129,Cade Otton,TE,TB,250.0,95,556.0,54.0,,Deep League
00-0036754,Brock Wright,TE,DET,250.0,85,556.0,54.0,,Deep League
00-0039338,Brock Bowers,TE,LV,250.0,95,556.0,54.0,,Deep League
00-0039530,Brevyn Spann-Ford,TE,DAL,250.0,75,556.0,54.0,,Deep League
00-0036556,Brevin Jordan,TE,HOU,250.0,70,556.0,54.0,,Deep League
00-0038935,Brenton Strange,TE,JAX,250.0,60,556.0,54.0,,Deep League
00-0036250,Tyler Davis,TE,GB,250.0,85,556.0,54.0,,Deep League
00-0038710,Blake Whiteheart,TE,CLE,250.0,75,556.0,54.0,,Deep League
00-0035356,Tyree Jackson,TE,WAS,250.0,75,556.0,54.0,,Deep League
00-0039912,Ben Sinnott,TE,WAS,250.0,75,556.0,54.0,,Deep League
00-0038809,Ben Sims,TE,GB,250.0,75,556.0,54.0,,Deep League
00-0038394,Will Mallory,TE,IND,250.0,75,556.0,54.0,,Deep League
00-0037168,Armani Rogers,TE,BUF,250.0,75,556.0,54.0,,Deep League
00-0037292,Andrew Ogletree,TE,IND,250.0,75,556.0,54.0,,Deep League
00-0035222,Zach Gentry,TE,LV,250.0,70,556.0,54.0,,Deep League
00-0038115,Daniel Bellinger,TE,NYG,250.0,85,556.0,54.0,,Deep League
00-0038558,Darnell Washington,TE,PIT,250.0,75,556.0,54.0,,Deep League
00-0038783,Nate Adkins,TE,DEN,250.0,60,556.0,54.0,,Deep League
00-0037654,Tucker Fisk,TE,LAC,250.0,60,556.0,54.0,,Deep League
00-0035624,N'Keal Harry,TE,SEA,250.0,85,556.0,54.0,,Deep League
00-0037011,Tre' McKitty,TE,CLE,250.0,75,556.0,54.0,,Deep League
00-0039814,Erick All,TE,CIN,250.0,75,556.0,54.0,,Deep League
