player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label
00-0036900,Ja'Marr Chase,WR,CIN,510.0,High,477.2200060784817,16.0,25.5,15.0,1.0,,Deep League
00-0036963,Amon-Ra St. Brown,WR,DET,510.0,High,703.499993801117,19.0,25.9,15.0,1.0,5.0,Deep League
00-0039075,Puka Nacua,WR,LA,510.0,High,587.8999967575073,18.0,24.3,15.0,1.0,,Deep League
00-0036358,CeeDee Lamb,WR,DAL,500.0,High,748.2000093460083,18.0,26.4,18.0,4.0,5.0,Deep League
00-0036322,Justin Jefferson,WR,MIN,495.6747985636847,High,357.7000014781952,10.0,26.2,19.0,5.0,,Deep League
00-0033040,Tyreek Hill,WR,MIA,485.0,High,676.6000061035156,17.0,31.5,20.0,6.0,,Deep League
00-0035676,A.J. Brown,WR,PHI,425.0350405644226,High,528.6000061035156,17.0,28.2,30.0,7.0,5.0,Deep League
00-0038994,Jordan Addison,WR,MIN,411.9912933752722,High,364.7999984771013,17.0,23.6,37.0,8.0,,Deep League
00-0031381,Davante Adams,WR,NYJ,405.06958823259765,High,484.9000015258789,17.0,32.7,39.0,9.0,,Deep League
00-0036554,Nico Collins,WR,HOU,392.17225836558214,High,491.7000061273575,17.0,26.5,42.0,10.0,,Deep League
00-0031408,Mike Evans,WR,TB,390.8027080330633,High,515.0,19.0,32.0,43.0,11.0,,Deep League
00-0034827,DJ Moore,WR,CHI,390.07093677885524,High,499.500009059906,17.0,28.4,44.0,12.0,,Deep League
00-0039064,Zay Flowers,WR,BAL,388.8497075748515,High,417.4000015258789,18.0,25.0,45.0,13.0,,Deep League
00-0037740,Garrett Wilson,WR,NYJ,386.86442033324875,High,415.69999697059393,17.0,25.1,46.0,14.0,,Deep League
00-0036252,Michael Pittman,WR,IND,374.934532980375,High,464.6999969482422,16.0,27.9,49.0,15.0,,Deep League
00-0036912,DeVonta Smith,WR,PHI,372.30835804963647,High,438.9000015258789,17.0,26.8,50.0,16.0,,Deep League
00-0039146,Jayden Reed,WR,GB,368.9044183741519,High,371.1000032424927,18.0,25.3,51.0,17.0,,Deep League
00-0037238,Drake London,WR,ATL,352.42903352775136,High,326.8799999952316,16.0,24.1,59.0,18.0,,Deep League
00-0035640,DK Metcalf,WR,SEA,352.24232224764273,High,376.4000015258789,16.0,27.7,60.0,19.0,,Deep League
00-0034960,Jakobi Meyers,WR,LV,351.03879477071484,High,378.0799970328808,16.0,28.8,61.0,20.0,,Deep League
00-0030279,Keenan Allen,WR,CHI,348.6982097260099,High,503.86000299453735,13.0,33.3,62.0,21.0,,Deep League
00-0035659,Terry McLaurin,WR,WAS,348.1839455893943,High,368.7000045776367,17.0,30.0,64.0,22.0,,Deep League
00-0036613,Jaylen Waddle,WR,MIA,345.42701730865065,High,373.59999990463257,15.0,26.8,65.0,23.0,,Deep League
00-0031544,Amari Cooper,WR,BUF,342.48254945067896,High,404.90000915527344,16.0,31.2,67.0,24.0,5.0,Deep League
00-0037247,George Pickens,WR,PIT,341.6616217157587,High,372.30000019073486,18.0,24.5,68.0,25.0,,Deep League
00-0037239,Chris Olave,WR,NO,338.4307024264455,High,416.8000030517578,16.0,25.2,69.0,26.0,,Deep League
00-0031588,Stefon Diggs,WR,HOU,336.1638571911761,High,533.2999985218048,19.0,31.8,70.0,27.0,,Deep League
00-0038543,Jaxon Smith-Njigba,WR,SEA,333.93753934558794,High,273.3000030517578,17.0,23.5,72.0,28.0,,Deep League
00-0033921,Chris Godwin,WR,TB,333.0994944628915,High,428.2000014781952,19.0,29.5,73.0,29.0,,Deep League
00-0033908,Cooper Kupp,WR,LA,327.88178864853637,High,307.600001513958,13.0,32.2,75.0,30.0,,Deep League
00-0038997,Josh Downs,WR,IND,326.18367244420244,High,289.0999984741211,17.0,24.1,76.0,31.0,,Deep League
00-0035719,Deebo Samuel Sr.,WR,SF,323.0003862157488,High,457.8000030517578,18.0,29.6,77.0,32.0,,Deep League
00-0034837,Calvin Ridley,WR,TEN,314.73325999126587,High,398.4000060558319,17.0,30.7,82.0,33.0,5.0,Deep League
00-0030564,DeAndre Hopkins,WR,KC,308.01051784794413,High,385.10000455379486,17.0,33.2,88.0,34.0,,Deep League
00-0039067,Rashee Rice,WR,KC,306.2531098729842,High,492.19999998807907,20.0,25.4,90.0,35.0,,Deep League
00-0038977,Tank Dell,WR,HOU,291.21228359281963,High,278.00000190734863,10.0,25.8,99.0,36.0,,Deep League
00-0030035,Adam Thielen,WR,CAR,285.02595907849053,High,440.00000154972076,17.0,35.0,103.0,37.0,5.0,Deep League
00-0036410,Tee Higgins,WR,CIN,283.445455814816,High,233.5999984741211,12.0,26.6,104.0,38.0,,Deep League
00-0037816,Romeo Doubs,WR,GB,282.4773478072174,High,366.3000030517578,19.0,25.4,105.0,39.0,,Deep League
00-0032211,Tyler Lockett,WR,SEA,275.87830854914307,High,363.9000015258789,17.0,32.9,108.0,40.0,,Deep League
00-0038393,Dontayvion Wicks,WR,GB,270.62991637250616,High,224.2599984779954,17.0,24.2,112.0,41.0,,Deep League
00-0034348,Courtland Sutton,WR,DEN,264.3009925025134,High,321.7000045776367,16.0,29.9,115.0,42.0,,Deep League
00-0036261,Brandon Aiyuk,WR,SF,261.62374064633593,High,477.1000061035156,19.0,27.5,117.0,43.0,5.0,Deep League
00-0036407,Jerry Jeudy,WR,CLE,260.66665315476087,High,250.8000030517578,16.0,26.4,120.0,44.0,,Deep League
