player_id,player_name,position,team,projected_points,confidence,overall_rank,position_rank,tier,tier_label
00-0035676,A.J. Brown,WR,PHI,367.5,95,1.0,1.0,5.0,Deep League
00-0034827,DJ Moore,WR,CHI,367.5,95,1.0,1.0,,Deep League
00-0035659,Terry McLaurin,WR,WAS,367.5,95,1.0,1.0,,Deep League
00-0033040,Tyreek Hill,WR,MIA,367.5,95,1.0,1.0,,Deep League
00-0032211,Tyler Lockett,WR,SEA,367.5,95,1.0,1.0,,Deep League
00-0035535,Darius Slayton,WR,NYG,367.2897078427415,95,51.0,6.0,,Deep League
00-0036252,Michael Pittman,WR,IND,365.95495841423354,95,52.0,7.0,,Deep League
00-0031544,Amari Cooper,WR,BUF,364.1391649963134,95,55.0,8.0,5.0,Deep League
00-0035216,Diontae Johnson,WR,HOU,361.92074430992466,95,59.0,9.0,,Deep League
00-0033282,Curtis Samuel,WR,BUF,360.797748742097,85,60.0,10.0,,Deep League
00-0031381,Davante Adams,WR,NYJ,360.10495089200464,95,61.0,11.0,,Deep League
00-0036322,Justin Jefferson,WR,MIN,360.0110964965523,95,62.0,12.0,,Deep League
00-0036407,Jerry Jeudy,WR,CLE,359.5428870114119,95,63.0,13.0,,Deep League
00-0036410,Tee Higgins,WR,CIN,358.56469687114344,95,64.0,14.0,,Deep League
00-0036358,CeeDee Lamb,WR,DAL,357.72354633704566,95,65.0,15.0,5.0,Deep League
00-0034386,Justin Watson,WR,KC,356.66931589327976,70,66.0,16.0,,Deep League
00-0032775,Demarcus Robinson,WR,LA,354.63717855445344,85,69.0,17.0,,Deep League
00-0035640,DK Metcalf,WR,SEA,352.5637913904916,95,70.0,18.0,,Deep League
00-0030564,DeAndre Hopkins,WR,KC,351.10608717111285,85,71.0,19.0,,Deep League
00-0033555,Mack Hollins,WR,BUF,350.6949619567916,70,72.0,20.0,,Deep League
00-0037238,Drake London,WR,ATL,350.0,95,73.0,21.0,,Deep League
00-0039915,Ladd McConkey,WR,LAC,350.0,95,73.0,21.0,,Deep League
00-0039901,Keon Coleman,WR,BUF,350.0,95,73.0,21.0,,Deep League
00-0037837,Calvin Austin III,WR,PIT,350.0,95,73.0,21.0,5.0,Deep League
00-0039893,Brian Thomas Jr.,WR,JAX,350.0,95,73.0,21.0,5.0,Deep League
00-0039849,Marvin Harrison Jr.,WR,ARI,350.0,95,73.0,21.0,,Deep League
00-0039064,Zay Flowers,WR,BAL,350.0,95,73.0,21.0,,Deep League
00-0039146,Jayden Reed,WR,GB,350.0,95,73.0,21.0,,Deep League
00-0038543,Jaxon Smith-Njigba,WR,SEA,350.0,95,73.0,21.0,,Deep League
00-0036900,Ja'Marr Chase,WR,CIN,350.0,95,73.0,21.0,,Deep League
00-0038994,Jordan Addison,WR,MIN,350.0,95,73.0,21.0,,Deep League
00-0038976,Marvin Mims Jr.,WR,DEN,350.0,95,73.0,21.0,,Deep League
00-0037740,Garrett Wilson,WR,NYJ,350.0,95,73.0,21.0,,Deep League
00-0039919,Rome Odunze,WR,CHI,350.0,95,73.0,21.0,,Deep League
00-0038393,Dontayvion Wicks,WR,GB,350.0,95,73.0,21.0,,Deep League
00-0036963,Amon-Ra St. Brown,WR,DET,350.0,95,73.0,21.0,5.0,Deep League
00-0036912,DeVonta Smith,WR,PHI,350.0,95,73.0,21.0,,Deep League
00-0039868,Troy Franklin,WR,DEN,350.0,95,73.0,21.0,,Deep League
00-0038563,Tre Tucker,WR,LV,350.0,90,73.0,21.0,,Deep League
00-0039894,Xavier Worthy,WR,KC,350.0,95,73.0,21.0,,Deep League
00-0039890,Adonai Mitchell,WR,IND,350.0,95,73.0,21.0,5.0,Deep League
00-0034764,Michael Gallup,WR,LV,349.9684469900456,95,177.0,42.0,,Deep League
00-0037261,Khalil Shakir,WR,BUF,349.1970243581444,95,183.0,43.0,,Deep League
00-0031408,Mike Evans,WR,TB,348.955455627881,95,184.0,44.0,,Deep League
00-0036415,Van Jefferson,WR,PIT,348.8388895173046,85,185.0,45.0,,Deep League
00-0039855,Jalen McMillan,WR,TB,348.6787840253039,95,187.0,46.0,,Deep League
00-0037664,Alec Pierce,WR,IND,348.6239638069143,95,188.0,47.0,5.0,Deep League
00-0034348,Courtland Sutton,WR,DEN,347.77037544675636,85,189.0,48.0,,Deep League
00-0039424,Devaughn Vele,WR,DEN,347.1036494244423,95,192.0,49.0,,Deep League
00-0038544,Quentin Johnston,WR,LAC,346.29835691083736,95,196.0,50.0,,Deep League
00-0038621,Demario Douglas,WR,NE,346.1806766708572,95,197.0,51.0,,Deep League
00-0033375,Tim Patrick,WR,DET,345.99395492700927,70,198.0,52.0,,Deep League
00-0034837,Calvin Ridley,WR,TEN,345.3211847167303,85,200.0,53.0,5.0,Deep League
00-0039062,Jonathan Mingo,WR,DAL,344.9780040288473,95,201.0,54.0,,Deep League
00-0031549,Nelson Agholor,WR,BAL,344.39446811104455,95,203.0,55.0,,Deep League
00-0036980,Elijah Moore,WR,CLE,344.1511242184114,95,207.0,56.0,,Deep League
00-0039337,Malik Nabers,WR,NYG,343.88297229183246,95,208.0,57.0,,Deep League
00-0039342,Xavier Legette,WR,CAR,343.88297229183246,95,208.0,57.0,,Deep League
00-0035208,Olamide Zaccheaus,WR,WAS,342.1856964916215,70,215.0,59.0,,Deep League
00-0036309,Darnell Mooney,WR,ATL,341.44433467740635,95,216.0,60.0,,Deep League
00-0039075,Puka Nacua,WR,LA,341.2956404349708,90,217.0,61.0,,Deep League
00-0037741,Jahan Dotson,WR,PHI,340.10148135442165,95,220.0,62.0,,Deep League
00-0038997,Josh Downs,WR,IND,340.06371114773026,95,221.0,63.0,,Deep League
