player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label,starter_probability,original_projected_points,point_change,expected_games_played,injury_risk_score,age_multiplier,player_multiplier,games_adjustment,injury_risk_category
00-0036963,Amon-Ra St. Brown,WR,DET,441.0,High,703.499993801117,19.0,25.9,18.0,1.0,1,Elite WR1,,510.0,-69.00000000000006,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0039075,Puka Nacua,WR,LA,441.0,High,587.8999967575073,18.0,24.3,18.0,1.0,1,Elite WR1,,510.0,-69.00000000000006,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0036900,Ja'Marr Chase,WR,CIN,441.0,High,477.2200060784817,16.0,25.5,18.0,1.0,1,Elite WR1,,510.0,-69.00000000000006,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0036358,CeeDee Lamb,WR,DAL,432.35294117647055,High,748.2000093460083,18.0,26.4,22.0,4.0,1,Elite WR1,,500.0,-67.64705882352945,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0036322,Justin Jefferson,WR,MIN,428.61291405212734,High,357.7000014781952,10.0,26.2,23.0,5.0,1,Elite WR1,,495.6747985636847,-67.06188451155737,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0033040,Tyreek Hill,WR,MIA,399.6970588235294,High,676.6000061035156,17.0,31.5,28.0,6.0,1,Elite WR1,,485.0,-85.3029411764706,14.01,2.99,1.3,1.0,0.8241176470588235,High Risk
00-0035676,A.J. Brown,WR,PHI,367.5302997821772,High,528.6000061035156,17.0,28.2,35.0,7.0,2,WR1,,425.0350405644226,-57.50474078224545,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0038994,Jordan Addison,WR,MIN,361.825294711342,High,364.7999984771013,17.0,23.6,37.0,8.0,2,WR1,,411.9912933752722,-50.16599866393023,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0036554,Nico Collins,WR,HOU,339.1136587043562,High,491.7000061273575,17.0,26.5,40.0,9.0,2,WR1,,392.1722583655821,-53.058599661225855,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0034827,DJ Moore,WR,CHI,337.2966335675983,High,499.500009059906,17.0,28.4,41.0,10.0,2,WR1,,390.0709367788552,-52.77430321125689,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0039064,Zay Flowers,WR,BAL,336.2406294911951,High,417.4000015258789,18.0,25.0,42.0,11.0,2,WR1,,388.8497075748515,-52.609078083656414,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0037740,Garrett Wilson,WR,NYJ,334.523939935221,High,415.69999697059393,17.0,25.1,43.0,12.0,2,WR1,,386.8644203332488,-52.34048039802781,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0031381,Davante Adams,WR,NYJ,330.53678399779966,High,484.9000015258789,17.0,32.7,45.0,13.0,2,WR1,,405.06958823259765,-74.532804234798,13.872,3.128,1.6,0.85,0.816,High Risk
00-0036252,Michael Pittman,WR,IND,324.2080961653831,High,464.6999969482422,16.0,27.9,48.0,14.0,2,WR1,,374.934532980375,-50.72643681499193,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0036912,DeVonta Smith,WR,PHI,321.93722725468564,High,438.9000015258789,17.0,26.8,51.0,15.0,2,WR1,,372.30835804963647,-50.37113079495083,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0039146,Jayden Reed,WR,GB,318.99382059411954,High,371.1000032424927,18.0,25.3,55.0,16.0,2,WR1,,368.9044183741519,-49.91059778003233,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0031408,Mike Evans,WR,TB,315.19387822596065,High,515.0,19.0,32.0,57.0,17.0,2,WR1,,390.8027080330633,-75.60882980710267,13.711,3.289,1.3,1.1,0.8065294117647059,High Risk
00-0037238,Drake London,WR,ATL,304.7474584034085,High,326.8799999952316,16.0,24.1,59.0,18.0,2,WR1,,352.42903352775136,-47.681575124342885,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
