player_id,player_name,position,team,projected_points,confidence,overall_rank,position_rank,tier,tier_label
00-0023459,Aaron Rodgers,QB,NYJ,315.50103186436314,85,317.0,1.0,1.0,Elite QB1
00-0038658,Adrian Martinez,QB,NYJ,62.4593012347356,75,970.0,103.0,1.0,Elite QB1
00-0038579,Aidan O'Connell,QB,LV,243.19409854956888,75,653.0,47.0,1.0,Elite QB1
00-0039334,Andrew Peasley,QB,NYJ,62.4593012347356,75,970.0,103.0,2.0,QB1
00-0027973,Andy Dalton,QB,CAR,239.0228991662903,70,670.0,62.0,2.0,QB1
00-0037175,Anthony Brown,QB,BUF,190.3575679082484,75,719.0,96.0,2.0,QB1
00-0039164,Anthony Richardson,QB,IND,287.01687847259507,60,456.0,17.0,2.0,QB1
00-0039464,Austin Reed,QB,CHI,62.4593012347356,75,970.0,103.0,2.0,QB1
00-0038108,Bailey Zappe,QB,CLE,231.17898428032203,70,682.0,69.0,2.0,QB1
00-0034855,Baker Mayfield,QB,TB,310.29279619481184,95,341.0,4.0,2.0,QB1
00-0036384,Ben DiNucci,QB,NO,213.36938806063125,75,700.0,81.0,2.0,QB1
00-0039732,Bo Nix,QB,DEN,272.68631461923474,95,478.0,27.0,2.0,QB1
00-0032434,Brandon Allen,QB,SF,223.47904755718014,85,693.0,75.0,3.0,QB2
00-0034955,Brett Rypien,QB,MIN,255.58815122876513,85,553.0,36.0,3.0,QB2
00-0037834,Brock Purdy,QB,SF,302.6389693262282,95,381.0,9.0,3.0,QB2
00-0039150,Bryce Young,QB,CAR,314.9104600861642,95,322.0,2.0,3.0,QB2
00-0033936,C.J. Beathard,QB,JAX,277.66619362952986,85,475.0,26.0,3.0,QB2
00-0039163,C.J. Stroud,QB,HOU,270.3166867208875,95,481.0,29.0,3.0,QB2
00-0039918,Caleb Williams,QB,CHI,265.610227158552,95,493.0,32.0,3.0,QB2
00-0032950,Carson Wentz,QB,KC,208.2501533580637,70,709.0,88.0,3.0,QB2
00-0039534,Carter Bradley,QB,LV,56.24020309220278,75,991.0,124.0,3.0,QB2
00-0028986,Case Keenum,QB,HOU,231.7478998902829,70,681.0,68.0,3.0,QB2
00-0039657,Casey Bauman,QB,LAC,62.4593012347356,75,970.0,103.0,3.0,QB2
00-0037324,Chris Oladokun,QB,KC,229.10506606004134,75,690.0,73.0,3.0,QB2
00-0038582,Clayton Tune,QB,ARI,201.5602490575899,75,713.0,91.0,4.0,Backup
00-0033662,Cooper Rush,QB,DAL,281.2227885374501,70,469.0,23.0,4.0,Backup
00-0033077,Dak Prescott,QB,DAL,247.25148408748646,85,643.0,41.0,4.0,Backup
00-0035710,Daniel Jones,QB,MIN,239.45623171372324,70,665.0,59.0,4.0,Backup
00-0036898,Davis Mills,QB,HOU,212.14248422879672,70,704.0,84.0,4.0,Backup
00-0031280,Derek Carr,QB,NO,240.0975533043346,95,661.0,55.0,4.0,Backup
00-0033537,Deshaun Watson,QB,CLE,237.00896227038163,70,673.0,63.0,4.0,Backup
00-0038122,Desmond Ridder,QB,LV,249.0686645198062,70,636.0,39.0,4.0,Backup
00-0039801,Devin Leary,QB,BAL,62.4593012347356,75,970.0,103.0,4.0,Backup
00-0038583,Dorian Thompson-Robinson,QB,CLE,257.5822751747836,75,551.0,34.0,4.0,Backup
00-0039851,Drake Maye,QB,NE,248.49685171754112,90,639.0,40.0,4.0,Backup
00-0038385,Dresser Winn,QB,LA,62.4593012347356,75,970.0,103.0,4.0,Backup
00-0035704,Drew Lock,QB,NYG,281.31310537938185,70,468.0,22.0,4.0,Backup
00-0037068,E.J. Perry,QB,JAX,62.4593012347356,75,970.0,103.0,4.0,Backup
00-0035282,Easton Stick,QB,LAC,291.72547914358745,75,440.0,11.0,4.0,Backup
00-0039331,Emory Jones,QB,ATL,62.4593012347356,75,970.0,103.0,4.0,Backup
00-0035289,Gardner Minshew,QB,LV,287.1830234169256,70,455.0,16.0,4.0,Backup
00-0039482,Gavin Hardison,QB,MIA,56.963143713113446,75,990.0,123.0,4.0,Backup
00-0030565,Geno Smith,QB,SEA,255.67635448728385,70,552.0,35.0,4.0,Backup
00-0038550,Hendon Hooker,QB,DET,190.62747032665575,75,718.0,95.0,4.0,Backup
00-0036929,Ian Book,QB,PHI,217.76417372735474,75,697.0,78.0,4.0,Backup
00-0039923,J.J. McCarthy,QB,MIN,56.24020309220278,75,991.0,124.0,4.0,Backup
00-0039501,Jack Plummer,QB,CAR,62.4593012347356,75,970.0,103.0,4.0,Backup
00-0033119,Jacoby Brissett,QB,NE,235.77263307469522,70,677.0,65.0,4.0,Backup
00-0035100,Jake Browning,QB,CIN,172.15141442373996,60,727.0,102.0,4.0,Backup
00-0036197,Jake Fromm,QB,DET,240.58275371401933,75,660.0,54.0,4.0,Backup
00-0038998,Jake Haener,QB,NO,240.0428194216881,75,662.0,56.0,4.0,Backup
00-0036312,Jake Luton,QB,LV,242.01799055791054,75,656.0,50.0,4.0,Backup
00-0036389,Jalen Hurts,QB,PHI,239.44337471461512,95,666.0,60.0,4.0,Backup
00-0031503,Jameis Winston,QB,CLE,283.47467278789156,70,462.0,20.0,4.0,Backup
00-0033106,Jared Goff,QB,DET,303.17082865236875,85,380.0,8.0,4.0,Backup
00-0038598,Jaren Hall,QB,SEA,212.82945376830003,75,702.0,83.0,4.0,Backup
00-0035264,Jarrett Stidham,QB,DEN,216.87586385156496,85,698.0,79.0,4.0,Backup
00-0039575,Jason Bean,QB,IND,62.4593012347356,75,970.0,103.0,4.0,Backup
00-0039910,Jayden Daniels,QB,WAS,272.68631461923474,95,478.0,27.0,4.0,Backup
00-0032436,Jeff Driskel,QB,WAS,232.40892660983928,85,680.0,67.0,4.0,Backup
00-0031345,Jimmy Garoppolo,QB,LA,236.37300722250205,70,676.0,64.0,4.0,Backup
00-0036442,Joe Burrow,QB,CIN,285.8714222139068,70,459.0,18.0,4.0,Backup
00-0026158,Joe Flacco,QB,IND,285.3897984923,70,461.0,19.0,4.0,Backup
00-0039398,Joe Milton III,QB,NE,244.4376050884116,75,649.0,44.0,4.0,Backup
00-0039723,John Paddock,QB,ATL,62.4593012347356,75,970.0,103.0,4.0,Backup
00-0034899,John Wolford,QB,JAX,290.93965626123384,85,444.0,13.0,4.0,Backup
