player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label,starter_probability,original_projected_points,point_change,expected_games_played,injury_risk_score,age_multiplier,player_multiplier,games_adjustment,injury_risk_category
00-0034796,Lamar Jackson,QB,BAL,740.9145436052468,High,610.8800019025803,18.0,28.6,2.0,2.0,1,Elite QB1,0.98,791.1775905332408,-50.26304692799408,15.92,1.08,1.0,0.9,0.9364705882352942,Low Risk
00-0034857,Josh Allen,QB,BUF,792.7911529411765,High,692.3000030517578,19.0,29.3,1.0,1.0,1,Elite QB1,0.98,778.0,-43.93411764705888,16.04,0.96,1.0,0.8,0.9435294117647058,Low Risk
00-0038542,Bijan Robinson,RB,ATL,458.7,High,520.2999992370605,17.0,23.6,13.0,2.0,1,Elite RB1,,561.0,-102.3,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0037248,James Cook,RB,BUF,458.7,High,554.8000068664551,19.0,25.9,13.0,2.0,1,Elite RB1,,561.0,-102.3,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0037840,Kyren Williams,RB,LA,458.7,High,509.3000011444092,13.0,25.0,13.0,2.0,1,Elite RB1,,561.0,-102.3,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0036389,Jalen Hurts,QB,PHI,696.7969171373081,High,606.8199920654297,18.0,27.1,3.0,3.0,1,Elite QB1,0.95,749.7182019831796,-52.92128484587147,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0033873,Patrick Mahomes,QB,KC,675.3013733380876,High,545.2600021362305,20.0,30.0,4.0,4.0,2,QB1,0.98,718.4057163171144,-43.1043429790268,15.98,1.02,1.0,0.85,0.94,Low Risk
00-0037834,Brock Purdy,QB,SF,543.4360931601256,High,486.4599895477295,19.0,25.7,6.0,6.0,2,QB1,0.9,584.7097204887426,-41.27362732861707,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0034855,Baker Mayfield,QB,TB,581.2767021787499,High,469.59999656677246,19.0,30.4,5.0,5.0,2,QB1,0.9,567.0276313486244,-48.03057583188343,15.56,1.44,1.2,1.0,0.9152941176470588,Low Risk
00-0036442,Joe Burrow,QB,CIN,517.9737645375503,High,215.66000080108645,10.0,28.7,8.0,7.0,2,QB1,0.95,557.3135441226807,-39.33977958513037,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0034844,Saquon Barkley,RB,PHI,540.2941176470588,High,483.7000045776367,14.0,28.6,7.0,1.0,1,Elite RB1,,550.0,-182.53529411764703,11.358,5.642,1.4,1.3,0.6681176470588236,Very High Risk
00-0035700,Josh Jacobs,RB,GB,409.5882352941177,High,404.1000003814697,13.0,27.6,27.0,9.0,1,Elite RB1,,550.0,-140.41176470588232,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
00-0033106,Jared Goff,QB,DET,484.99589149841415,High,461.3799958229065,20.0,30.9,9.0,8.0,2,QB1,0.95,529.8798300432545,-44.88393854484036,15.56,1.44,1.2,1.0,0.9152941176470588,Low Risk
00-0039139,Jahmyr Gibbs,RB,DET,449.4896122183873,Medium,576.9000015258789,18.0,23.5,16.0,5.0,1,Elite RB1,,549.7354969577399,-100.24588473935256,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0036264,Jordan Love,QB,GB,473.9546983326288,High,501.3999996185303,19.0,26.8,10.0,9.0,2,QB1,0.9,509.9512576996639,-35.996559367035104,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0033906,Alvin Kamara,RB,NO,323.3637647058824,High,495.50000381469727,13.0,30.1,49.0,15.0,2,RB1,,533.5,-210.13623529411765,10.304,6.696,1.8,1.2,0.6061176470588235,Very High Risk
00-0032764,Derrick Henry,RB,BAL,375.89782352941177,Medium,502.659996509552,17.0,31.7,33.0,11.0,2,RB1,,533.5,-157.60217647058823,11.978,5.022,1.8,0.9,0.7045882352941176,Very High Risk
00-0036355,Justin Herbert,QB,LAC,466.9199682091586,High,332.6599941253662,13.0,27.5,11.0,10.0,2,QB1,0.95,502.38224427567695,-35.46227606651837,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0039163,C.J. Stroud,QB,HOU,464.6817717250932,High,414.9799995422363,17.0,23.9,12.0,11.0,2,QB1,0.95,494.34231034584377,-29.66053862075057,15.98,1.02,0.85,1.0,0.94,Low Risk
00-0035228,Kyler Murray,QB,ARI,448.2221866820692,High,211.85999870300293,8.0,28.1,17.0,12.0,2,QB1,0.9,482.26437807564406,-34.04219139357485,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0038120,Breece Hall,RB,NYJ,432.6726431629344,High,582.5000038146973,17.0,24.3,21.0,6.0,2,RB1,,529.1679808467543,-96.49533768381993,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0026498,Matthew Stafford,QB,LA,366.99314876105007,High,350.2799987792969,16.0,37.6,36.0,14.0,3,QB2,0.9,413.719066905693,-46.72591814464295,15.08,1.92,1.6,1.0,0.8870588235294118,Medium Risk
00-0039040,De'Von Achane,RB,MIA,425.7257981548405,High,340.2000026702881,12.0,23.9,24.0,7.0,2,RB1,,520.6718394699488,-94.94604131510836,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0036971,Trevor Lawrence,QB,JAX,380.4175660350307,High,402.54000091552734,16.0,25.9,32.0,13.0,3,QB2,0.9,409.31003940477984,-28.892473369749155,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0036212,Tua Tagovailoa,QB,MIA,359.20473389968026,High,408.8199977874756,18.0,27.5,38.0,15.0,3,QB2,0.9,407.0986984196376,-43.10456806796168,15.2,1.7999999999999998,1.0,1.5,0.8941176470588235,Medium Risk
00-0036963,Amon-Ra St. Brown,WR,DET,441.0,High,703.499993801117,19.0,25.9,18.0,1.0,1,Elite WR1,,510.0,-69.00000000000006,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0039075,Puka Nacua,WR,LA,441.0,High,587.8999967575073,18.0,24.3,18.0,1.0,1,Elite WR1,,510.0,-69.00000000000006,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0036900,Ja'Marr Chase,WR,CIN,441.0,High,477.2200060784817,16.0,25.5,18.0,1.0,1,Elite WR1,,510.0,-69.00000000000006,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0030565,Geno Smith,QB,SEA,327.69973085540363,High,317.2599914520979,15.0,34.9,46.0,16.0,3,QB2,0.8,358.02669823533813,-30.3269673799345,15.56,1.44,1.2,1.0,0.9152941176470588,Low Risk
00-0033077,Dak Prescott,QB,DAL,327.3571818422671,High,527.9599952697754,18.0,32.1,47.0,17.0,3,QB2,0.9,357.65244802818387,-30.295266185916773,15.56,1.44,1.2,1.0,0.9152941176470588,Low Risk
00-0036358,CeeDee Lamb,WR,DAL,432.35294117647055,High,748.2000093460083,18.0,26.4,22.0,4.0,1,Elite WR1,,500.0,-67.64705882352945,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0031280,Derek Carr,QB,NO,320.16651263189067,High,329.1199951171875,17.0,34.4,53.0,18.0,3,QB2,0.85,349.7963184281582,-29.629805796267533,15.56,1.44,1.2,1.0,0.9152941176470588,Low Risk
00-0036322,Justin Jefferson,WR,MIN,428.61291405212734,High,357.7000014781952,10.0,26.2,23.0,5.0,1,Elite WR1,,495.6747985636847,-67.06188451155737,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0029604,Kirk Cousins,QB,ATL,307.34594212281183,High,216.7399978637696,8.0,37.0,58.0,19.0,3,QB2,0.85,346.4775209607295,-39.13157883791769,15.08,1.92,1.6,1.0,0.8870588235294118,Medium Risk
00-0033040,Tyreek Hill,WR,MIA,399.6970588235294,High,676.6000061035156,17.0,31.5,28.0,6.0,1,Elite WR1,,485.0,-85.3029411764706,14.01,2.99,1.3,1.0,0.8241176470588235,High Risk
00-0039150,Bryce Young,QB,CAR,295.0039298726475,High,244.3799934387207,16.0,24.1,65.0,20.0,3,QB2,0.8,313.833967949625,-18.830038076977477,15.98,1.02,0.85,1.0,0.94,Low Risk
00-0034869,Sam Darnold,QB,MIN,267.9644424855517,High,44.88000011444092,10.0,28.2,83.0,21.0,3,QB2,0.6,288.3161722945809,-20.351729809029223,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0036223,Jonathan Taylor,RB,IND,395.0226317183271,High,316.4000062942505,10.0,26.6,29.0,10.0,2,RB1,,483.1212042598245,-88.09857254149739,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0035261,Tony Pollard,RB,TEN,411.85613272474006,High,544.0999984741211,18.0,28.3,25.0,8.0,2,RB1,,460.8711332491167,-117.65768931183334,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
00-0023459,Aaron Rodgers,QB,NYJ,231.60901701612744,Low,0.0,1.0,41.7,110.0,23.0,3,QB2,0.85,275.1085305529742,-43.499513536846734,14.312,2.688,1.6,1.4,0.8418823529411765,High Risk
00-0037744,Trey McBride,TE,ARI,386.1,High,432.0,17.0,25.8,30.0,2.0,1,Elite TE1,,459.0,-72.89999999999998,14.3,2.7,1.0,1.0,0.8411764705882353,High Risk
00-0029263,Russell Wilson,QB,PIT,233.6307816633454,High,408.8999977111816,15.0,36.8,109.0,22.0,3,QB2,0.55,270.2587975147572,-36.62801585141179,14.696,2.304,1.6,1.2,0.8644705882352941,Medium Risk
00-0039065,Sam LaPorta,TE,DET,386.1,High,606.9000000059605,20.0,24.6,30.0,2.0,1,Elite TE1,,459.0,-72.89999999999998,14.3,2.7,1.0,1.0,0.8411764705882353,High Risk
